ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN,10.0,6.22,0.079,545.0,24834.0
R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY,10.0,6.22,0.079,545.0,24834.0
R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS,0.0,0.0,0.0,0.0,0.0
R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-35341,FF|Bowl|Polenta|AAD,OK - SIDES,5.0,44.55199999999999,0.4665,7796.5,402315.5
R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY,5.0,3.11,0.0395,272.5,12417.0
R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST,0.0,0.0,0.0,0.0,0.0
R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY,95.0,89.243,0.6805,2163.0,76773.0
R-56895,FF|Brussel Sprout Pasta|AAD,OK - GLOBAL KITCHEN ,10.0,89.10399999999998,0.933,15593.0,804631.0
R-61853,FF|Overnight oats|AppleCin|AAD,GV FRESH FARE BREAKFAST,25.0,80.69500000000001,0.183,27450.5,1941116.5
R-61855,FF|Overnight oats|Bannana|AAD,GV FRESH FARE BREAKFAST,60.0,133.062,0.4805,46513.0,3241170.0
R-66411,FF|Overnight oats|black|AAD,GV FRESH FARE BREAKFAST,70.0,167.9705,0.5075000000000001,56548.0,3647227.0
R-69124,FF|Overnight oats|straw|AAD,GV FRESH FARE BREAKFAST,45.0,126.60300000000001,0.44,46460.5,3241099.5
R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE,5.0,16.200499999999998,0.001,7.0,68.0
R-68820,FF|Pasta|blanco|AAD,SPECIALS,15.0,133.65599999999998,1.3995,23389.5,1206946.5
R-68821,FF|Pasta|Duxcell Spaghetti,SPECIALS,2.0,6.3018,0.0004,135.0,9875.44
R-36568,FF|Pasta|Spinach Avocado|AAD,GV FRESH FARE DAY,35.0,142.73449999999997,1.0150000000000001,16427.0,834230.0
R-55234,FF|Pasta|Tomato basil|AAD,GV FRESH FARE DAY,25.0,12.5725,0.1975,2032.5,73487.5
R-54608,FF|Ratatoullie|bowl|AAD,GV FRESH FARE FEATURE,0.0,0.0,0.0,0.0,0.0
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE,5.0,44.55199999999999,0.4665,7796.5,402315.5
R-55151,FF|Risotto|Primavera|AAD,GV FRESH FARE FEATURE,5.0,44.55199999999999,0.4665,7796.5,402315.5
R-55148,FF|Risotto|Squash|Herbs&cheese,GV FRESH FARE FEATURE,5.0,44.55199999999999,0.4665,7796.5,402315.5
R-36574,FF|Salad|UBC Power|AAD,GV FRESH FARE DAY,190.0,220.25500000000002,1.1399999999999997,45798.0,2417431.0
R-50694,FF|Spaghetti Puttanesca|AAD,GV FRESH FARE DAY,55.0,117.09399999999998,1.2885,18045.5,916384.0
R-56719,FF|Toast|Beans On Toast|AAD,GV FRESH FARE DAY,20.0,92.21399999999998,0.9725,15865.5,817048.0
R-61875,FF|Toast|Bruscetta|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-56718,FF|Toast|Farm Veg toast|AAD,GV FRESH FARE DAY,10.0,47.66199999999999,0.506,8069.0,414732.5
R-61874,FF|Toast|Mushroom toast|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-68811,FF|Toast|primavera|AAD,GV FRESH FARE DAY,5.0,3.11,0.0395,272.5,12417.0
R-65943,FF|Toast|Shaved fennel|AAD,GV FRESH FARE DAY,0.0,0.0,0.0,0.0,0.0
R-36669,FF|Toast|Smashed Avocado|AAD,GV FRESH FARE DAY,45.0,131.37949999999998,0.066,9166.5,647176.5
R-36552,FF|Yaki Soba Miso Noodle|AAD,GV FRESH FARE DAY,365.0,423.5045,4.3515,99568.0,3132465.0
R-54557,FLX|GLB|Garlic Flatbread,GV FLEX GLOBAL BOWL,0.0,0.0,0.0,0.0,0.0
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY,60.0,35.882999999999996,0.474,4749.0,222606.0
R-44316,GRL|BOWL|White Bean|AAD,GV - GRILL BREAKFAST,85.00000187500005,120.40750285468758,1.1890000277500008,31985.000786000022,986461.5240406882
R-67295,GZA|BowlEggplant miso|AAD,GV GYAZA,0.0,0.0,0.0,0.0,0.0
R-56509,HS|Quesadilla|Breakfast,FT BUENO,105.00000187500005,323.6595028546876,1.9524000277500009,32282.400786000024,1876698.564040688
R-32886,VEG|Bowl|Curried Chickpea,FEAST,165.0000048000002,189.7000073080003,2.071000071040003,51910.75201216008,1608774.3115441627
R-55942,VEG|Falafel bowl|Med,FEAST,32.999999400000014,50.707799086500025,0.4616999911200002,12575.999748480006,384650.9923069802
R-56688,VEG|Shakshuka,OK - VEGETARIAN KITCHEN,84.00000544000088,90.76540234246437,0.8318000146880024,21079.000019040002,641244.800025568
R-35461,VEG|Tabbouleh Bowl,OK - VEGETARIAN KITCHEN,60.0000024000001,91.35000365400015,0.8880000355200015,25152.00100608004,769302.0307720813
R-56827,CC|Chickpea Vindaloo|PLATE,FT OASIS/CHAAT,150.0000048000002,272.0460073080003,2.558100071040003,58176.27201216008,1928682.4215441626
R-44885,FLX|Bao Shitake & Kimchi|AAD,GV FLEX BAO,5.0,3.11,0.0395,272.5,12417.0
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO,0.0,0.0,0.0,0.0,0.0
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO,0.0,0.0,0.0,0.0,0.0
R-61970,FLX|Bao|Mushroom|AAD,GV FLEX BAO,0.0,0.0,0.0,0.0,0.0
R-61932,FLX|Beef brisket|AAD ,GV - FLEX BC,0.0,0.0,0.0,0.0,0.0
R-62000,FLX|Benny|mushroom spin|AAD,GV FLEX GLOBAL BOWL,95.0000187500047,124.24552854688216,1.2680002775000696,33066.00786000197,1020417.7404069353
