ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-56719,FF|Toast|Beans On Toast|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-61875,FF|Toast|Bruscetta|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-56718,FF|Toast|Farm Veg toast|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-61874,FF|Toast|Mushroom toast|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-68811,FF|Toast|primavera|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-65943,FF|Toast|Shaved fennel|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-36669,FF|Toast|Smashed Avocado|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-36552,FF|Yaki Soba Miso Noodle|AAD,GV FRESH FARE DAY,0,0,0,0,0
R-54557,FLX|GLB|Garlic Flatbread,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY,0,0,0,0,0
R-44316,GRL|BOWL|White Bean|AAD,GV - GRILL BREAKFAST,0,0,0,0,0
R-67295,GZA|BowlEggplant miso|AAD,GV GYAZA,0,0,0,0,0
R-56509,HS|Quesadilla|Breakfast,FT BUENO,0,0,0,0,0
R-32886,VEG|Bowl|Curried Chickpea,FEAST,0,0,0,0,0
R-55942,VEG|Falafel bowl|Med,FEAST,0,0,0,0,0
R-56688,VEG|Shakshuka,OK - VEGETARIAN KITCHEN,0,0,0,0,0
R-35461,VEG|Tabbouleh Bowl,OK - VEGETARIAN KITCHEN,0,0,0,0,0
R-56827,CC|Chickpea Vindaloo|PLATE,FT OASIS/CHAAT,0,0,0,0,0
R-44885,FLX|Bao Shitake & Kimchi|AAD,GV FLEX BAO,0,0,0,0,0
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO,0,0,0,0,0
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO,0,0,0,0,0
R-61970,FLX|Bao|Mushroom|AAD,GV FLEX BAO,0,0,0,0,0
R-61932,FLX|Beef brisket|AAD ,GV - FLEX BC,0,0,0,0,0
R-62000,FLX|Benny|mushroom spin|AAD,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-57374,FLX|BPD|Crispy potato,FOOD,0,0,0,0,0
R-44376,FLX|Butter Chicken|275g,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-57262,FLX|Butter Tofu 275g,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-65254,FLX|Laksa|eggplant Tofu|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-64446,FLX|Laksa|ling cod|AAD 100g,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-45203,FLX|Laksa|Salmon|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-41308,FLX|Miso ramen|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-69621,FLX|Palak Paneer|AAD,GV FLEX GLOBAL BOWL,0,0,0,0,0
R-61435,FLX|Pasta|Mac + Cheese|350g,GV - FLEX BC,0,0,0,0,0
R-49596,FLX|Pasta|Primavera Spaghetti,SPECIALS,0,0,0,0,0
R-61908,FLX|Pasta|Ravioli butternut,GV - FLEX BC,0,0,0,0,0
R-44766,FLX|Pho Beef Noodle|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-44930,FLX|PHO Veg Noodle Soup|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-61955,FLX|Shoyu Chicken 170g,GV - FLEX BC,0,0,0,0,0
R-61958,FLX|Shoyu tofu 150g,GV - FLEX BC,0,0,0,0,0
R-61967,FLX|Spicy Soy Salmon 100g,GV - FLEX BC,0,0,0,0,0
R-62288,FLX|Spicy Soy tofu 150g,GV - FLEX BC,0,0,0,0,0
R-57280,FLX|Tonkotsu Ramen|AAD,GV - FLEX ASIAN NOODLE,0,0,0,0,0
R-62718,SL|Beef Brisket|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62716,SL|Beef Brisket|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62054,SL|Beef Brisket|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-62053,SL|Beef Brisket|+4,GV SIMPLY LOCAL,0,0,0,0,0
R-49123,SL|Beef Brisket|AAD|SL,GV SIMPLY LOCAL,0,0,0,0,0
R-62078,SL|Beef flat roast| +1,GV SIMPLY LOCAL,0,0,0,0,0
R-62077,SL|Beef flat roast| +2,GV SIMPLY LOCAL,0,0,0,0,0
R-62076,SL|Beef flat roast| +3,GV SIMPLY LOCAL,0,0,0,0,0
R-48878,SL|Beef flat roast| +4,GV SIMPLY LOCAL,0,0,0,0,0
R-62209,SL|Beef flat roast| 125g,GV SIMPLY LOCAL,0,0,0,0,0
R-37781,SL|Big Veg|Caulif Roast|320g,GV SIMPLY LOCAL,0,0,0,0,0
R-47110,SL|Chicken Thigh (2) ,GV SIMPLY LOCAL,0,0,0,0,0
R-62071,SL|Chicken Thigh|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62070,SL|Chicken Thigh|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62069,SL|Chicken Thigh|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-62068,SL|Chicken Thigh|+4,GV SIMPLY LOCAL,0,0,0,0,0
R-62175,SL|chimichuri thigh|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62174,SL|chimichuri thigh|+2,GV SIMPLY LOCAL,0,0,0,0,0
R-62173,SL|chimichuri thigh|+3,GV SIMPLY LOCAL,0,0,0,0,0
R-62172,SL|chimichuri thigh|+4,GV SIMPLY LOCAL,0,0,0,0,0
R-57250,SL|chimichuri thigh|160g,GV SIMPLY LOCAL,0,0,0,0,0
R-62115,SL|Herb'd Pork Loin|+1,GV SIMPLY LOCAL,0,0,0,0,0
R-62114,SL|Herb'd Pork Loin|+2,GV SIMPLY LOCAL,0,0,0,0,0
