PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-35271,BATCH|Roasted Garlic Mayo,4.000,L,PREP,4000.0,ml,11438.9,2.859725,0.1375,3.4375e-05,14250.0,3.5625,383975.0,95.99375
P-58429,BATCH|Whipped Goat Cheese,600.000,g,,600.000,g,4805.324,8.008873333333332,4.6743,0.0077905,799846.0,1333.0766666666666,41735657.0,69559.42833333333
P-50509,CHIFFONADE|Thai Basil,200.000,g,,200.000,g,228.11141680000003,1.140557084,0.35833768,0.0017916884,36877.029599999994,184.38514799999996,1333333.684,6666.668419999999
P-34084,COOKED|Bacon,20.000,g,PREP,20.000,g,560.3955,28.019775,0.7569600000000001,0.03784800000000001,103187.09999999999,5159.355,3091833.9,154591.695
P-51508,COOKED|Bacon|(2) Slice,2.000,slice,,57.0000004845,g,560.3955,9.83149991643225,0.7569600000000001,0.013279999887120003,103187.09999999999,1810.29998461245,3091833.9000000004,54242.699538937064
P-58450,COOKED|Bahn Mi Chicken,8.500,Kg,,8500.0,g,44148.821,5.193978941176471,117.04415000000002,0.013769900000000002,3718522.2499999995,437.4732058823529,3986457.2500000005,468.99497058823533
P-43675,DRESSING|Avocado Lime,4.000,L,PREP,4000.0,ml,10187.258499999998,2.5468146249999997,0.36625,9.156250000000001e-05,93859.5,23.464875,5180711.5,1295.177875
P-26054,DRESSING|Caesar,10.000,L,PREP,10000.0,ml,10843.8,1.08438,0.135,1.3500000000000001e-05,13245.0,1.3245,236185.0,23.6185
P-35227,DRESSING|Green Papaya Sala,1.000,L,,1000.0,ml,323.8316,0.3238316,0.38116,0.00038116,24385.2,24.3852,1010448.0,1010.448
P-35750,DRESSING|Spicy Caesar ,4.400,L,PREP,4400.0,ml,0.0,0.0,0.27,6.136363636363636e-05,8090.000000000001,1.8386363636363638,453970.0,103.175
P-61788,GRILLED|Red Onion,1.250,Kg,,1250.0,g,441.677,0.35334160000000003,0.9879,0.00079032,2403.0,1.9224,71522.0,57.2176
P-61789,GRILLED|Vegetables,4.500,Kg,,4500.0,g,1127.66,0.25059111111111115,0.004,8.888888888888889e-07,63579.99999999999,14.128888888888888,4879140.0,1084.2533333333333
