ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-10387,58,Paste Tamarind Conc 380g,17.5,g,8.0,g,N
I-15834,20,SO-TEMPEH organic ,330.0,g,8.0,g,N
I-16548,38,Paste Ancho,42.5,ml,8.0,fl oz,N
I-1541,32,APPLE ROYAL GALA 100-113CT FAN,2.0,ea,90.0,ea,N
I-2323,54,SPICE CAYENNE SHAKER ,0.25,tsp,90.0,fl oz,N
I-12212,43,Brown Sugar 1KG Bags,3.0,g,90.0,g,N
I-1863,41,FRIES 7/16IN HARVEST PRIDE ,0.5,lb,1.0,g,N
I-2067,39,ONION RING BTD TEMPURA BEEFEAT,0.5,lb,1.0,g,N
I-8460,48,ITEM CHIPOLTE AIOLI,60.0,ml,1.0,ml,N
I-12354,3,GYOZA PORK 250PC,4.0,piece,1.0,piece,N
I-14666,26,Porch ITEm Dres Asian Sesame,60.0,ml,1.0,ml,N
I-1549,40,ARTICHOKE 1/4,40.0,ea,20.0,ea,N
I-1675,6,CHEESE CREAM PLAIN SOFT ,1000.0,g,20.0,g,N
I-2068,39,ONIONS,0.5,Kg,20.0,oz,N
I-2349,40,SPINACH WASHED TRIMMED,200.0,g,20.0,oz,N
I-4184,58,SAUCE RED HOT,100.0,ml,20.0,ml,N
I-2037,5,BUTTER REG SALTED,225.0,g,5.0,oz,N
I-13817,55,FRENCH AUS JUS,490.0,g,5.0,g,N
I-1588,17,BEAN GARBANZO CHICK PEA,2.8,L,20.0,ml,N
I-2099,20,PASTE TAHINI,100.0,g,20.0,g,N
I-5731,49,Olive Kalamata Superior Pitted,100.0,g,20.0,g,N
I-7338,4,Chicken Brst b/l s/l random,4.0,oz,1.0,oz,Y
I-8851,3,ITEM PULLED PORK RUB,10.0,g,1.0,g,Y
I-13706,12,SAL ATL -FLT S/OFF ,5.0,oz,1.0,oz,N
I-1655,40,CELERY,400.0,g,13.0,oz,N
I-13577,3,Pork Rib Back Danish Baby14-18,0.5,cs,13.0,cs,N
I-14423,38,CARROTS JUMBO 5LB ,400.0,g,13.0,g,N
I-15592,55,JUICE ORANGE CONC 6+1,500.0,ml,13.0,ml,N
I-1689,6,CHEESE PARMESAN PURE SHRED,15.0,g,1.0,g,N
I-2992,3,Bacon Pre-Ckd 30-34 ct,1.0,slice,1.0,slice,N
I-5944,36,Brussel Sprouts Large Fresh,200.0,g,1.0,g,N
I-5777,24,Flour - Fried Chicken Blend,10.0,g,1.0,g,N
I-13691,58,DRESSING Caesar,1.5,fl oz,1.0,ml,N
I-1596,17,BEAN REFRIED,60.0,ml,1.0,ml,N
I-14419,39,ONIONS RED 5LB,50.0,g,1.0,oz,N
I-1859,38,DILL - FRESH ,5.0,g,1.0,oz,Y
I-2111,57,PEPPER HOT BANANA RING SLCD,50.0,ml,1.0,ml,Y
I-15515,12,Squid Strip Humboldt 8-12mm ,200.0,g,1.0,g,Y
I-2378,22,SYRUP CORN GOLDEN,25.0,ml,1.0,ml,N
I-2446,26,WALNUT PIECES 1/2 & pcs,800.0,g,1.0,g,N
I-7656,11,Egg Yolk Liq,100.0,g,1.0,g,Y
I-14418,36,Cauliflower each ,300.0,g,1.0,g,N
I-14737,36,2020 Cauliflower coating,40.0,g,1.0,g,N
I-1963,35,LEMONS,0.25,ea,1.0,ea,N
I-5265,3,Bacon Raw 14-22ct econo,2.0,slice,1.0,slice,N
I-9911,4,Chicken Leg B/L S/on,18.0,Kg,18.0,oz,Y
I-3036,55,MIRIN 5.28GL,720.0,ml,2100.0,fl oz,N
I-3230,54,Black Pepper Fine,24.0,g,2100.0,g,N
I-5575,26,Sauce pesto gfs nut free,1.0,lb,5.0,g,N
I-2402,37,TOMATO - 6 X 7 MED,30.0,g,1.0,oz,N
I-5126,6,CHEESE NATURAL SL MOZZ,1.0,slice,1.0,slice,N
I-5220,36,Lettuce Green Leaf Fillet,30.0,g,1.0,oz,N
I-14948,24,Brioche Hamburger Bun,1.0,ea,1.0,ea,N
I-15074,58,G21-Creole Dressing,10.0,ml,1.0,ml,N
I-2257,54,SEASONING CAJUN ,90.0,g,5.0,g,Y
I-15444,34, Blackberries 6oz,1.0,oz,1.0,oz,N
I-2456,31,WATERMELON,600.0,g,660.0,oz,N
I-1568,61,BAKING PWDR GMO,8.0,g,1.0,g,N
I-1773,22,CORN KERNEL WHOLE IQF GR A ,225.0,g,1.0,g,N
I-5223,40,CHIVE - FRESH  ,10.0,g,1.0,oz,N
I-7054,11,Egg White Liq Pasteurized,80.0,ml,1.0,fl oz,N
I-13842,24,FLOUR ALL PURPOSE.,500.0,g,1.0,g,N
I-3258,54,THYME,1.0,g,1.0,oz,N
I-7775,43,Syrup Table Pancake Maple 4L,2.0,oz,1.0,oz,N
