Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-14507,2022 Glass Noodle Salad,N,Green,False,False,True,791.1483117549631,4.5688032037604,1.6364071575761598,71.33,4632.66,115.95,0.67,10.45,678.99,0.24
R-14271,2022 green pea and green onion,Y,Green,False,False,True,7454.555576799999,24.9664893,7.369202099999992,3898.41,16784.45,112.04,0.38,58.59,252.27,0.11
R-15438,2022 Green Thai Curry,N,Red,True,False,False,1874.9732511581117,22.71437458876167,4.320094037140639,391.47,23174.08,372.38,4.51,77.75,4602.44,0.86
R-16791,2022 Gretest Gallery Burger,N,Red,True,False,False,15111.699671524197,124.64976390532222,44.88657237311802,755.96,27990.45,2132.23,17.59,106.66,3949.4,6.33
R-16574,2022 Grilled Peach Salsa,N,Green,False,False,True,92.05273000211218,0.63968000003318,0.175393000004998,4.86,255.55,22.36,0.16,1.18,62.07,0.04
R-17039,2022 Grilled Peach Salsa2,N,Green,False,False,True,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.1,0.1,0.0
R-16794,2022 Grilled Pineapple,N,Green,False,False,True,767.8086836040038,2.5145099430000246,2.2953178189000063,3.52,7.59,75.27,0.25,0.35,0.74,0.23
R-16773,2022 ground beef,N,Red,True,False,False,7033.005352196287,56.04794778610606,21.509144150388806,285.29,10428.66,4110.47,32.76,166.74,6095.07,12.57
R-16831,2022 Group Appi Platter,N,Yellow,False,True,False,7546.022082037654,106.714703929136,15.44854821777736,835.03,25730.25,347.73,4.92,38.48,1185.67,0.71
R-17371,2022 Harvest - Salad,N,Green,False,False,True,259.84856228065183,1.2914301379272204,0.693797799755488,9.93,433.68,113.24,0.56,4.33,189.0,0.3
R-17013,2022 Herb oil,N,Yellow,False,True,False,1310.875550004526,0.3130500000711,6.367105000010709,2.96,92.16,305.21,0.07,0.69,21.46,1.48
R-16834,2022 herb tahini dressing,N,Green,False,False,True,947.906652499434,3.442527499991112,2.042467749998661,15.18,422.59,75.09,0.27,1.2,33.48,0.16
R-17304,2022 HH Brussels Sprouts,N,Yellow,False,True,False,638.2135,3.72725,1.8045,53.05,2679.67,303.91,1.77,25.26,1276.03,0.86
R-17302,2022 HH Chips & Salsa,N,Green,False,False,True,395.5687340962282,1.6409809499407502,1.204319434991075,9.28,75.69,115.82,0.48,2.72,22.16,0.35
R-17316,2022 HH Corn Fritters,N,Green,False,False,True,102.51147359962282,0.007934999994075,0.1666891099991075,0.61,4.36,177.21,0.01,1.05,7.54,0.29
R-17301,2022 HH fried Gyoza,N,Red,True,False,False,2557.633917532593,30.334513173481604,5.802162934666418,492.57,18462.13,718.57,8.52,138.39,5186.96,1.63
R-15047,2022 HH Gallery Fries,N,Green,False,False,True,410.1705253,3.188445975,1.164797639999999,22.37,765.36,101.44,0.79,5.53,189.28,0.29
R-17306,2022 HH Hummus & pita,N,Yellow,False,True,False,587.9980114653193,1.521788994829786,3.083367377961287,28.77,1086.57,238.12,0.62,11.65,440.02,1.25
R-9016,2022 HH onion ring,N,Green,False,False,True,406.9225,2.1925,1.72875,0.66,17.04,108.51,0.58,0.18,4.54,0.46
R-17300,2022 HH Poutine,N,Green,False,False,True,801.0335,5.2915,2.16005,63.3,3243.66,179.6,1.19,14.19,727.28,0.48
R-15173,2022 HH Quesadilla,N,Red,True,False,False,1259.0188011642372,10.369729717454334,1.5938817824510187,151.68,9174.27,512.85,4.22,61.79,3737.09,0.65
R-17303,2022 HH Spring Rolls,N,Green,False,False,True,573.4753161981141,9.294294599970376,1.8301744699955371,46.42,904.46,139.23,2.26,11.27,219.58,0.44
R-16218,2022 hot salsa,N,Green,False,False,True,8.6806169,0.3237716125,0.00907184,0.58,17.86,20.12,0.75,1.34,41.4,0.02
R-16857,2022 house dressing,N,Green,False,False,True,1506.4828474999997,0.90975,5.4513,9.59,328.7,194.36,0.12,1.24,42.41,0.7
R-15477,2022 Jasmin rice,Y,Green,False,False,True,2534.5,5.3,2.17,1576.65,4627.35,92.16,0.19,57.33,168.27,0.08
R-16580,2022 KFC Flour Batter,Y,Yellow,False,True,False,4875.588000000001,44.958,15.6143999999997,1258.79,38473.41,156.27,1.44,40.35,1233.12,0.5
R-16579,2022 KFC Sauce,Y,Green,False,False,True,10623.77,31.5325,29.293000000000003,181.02,4673.59,223.66,0.66,3.81,98.39,0.62
R-17026,2022 Lemon & pepper seasoning,N,Red,True,False,False,7752.4975,5.56875,25.575,20.54,181.75,886.0,0.64,2.35,20.77,2.92
R-16863,2022 lemon and pepper,N,Red,True,False,False,7752.4975,5.56875,25.575,20.54,181.75,886.0,0.64,2.35,20.77,2.92
R-16575,2022 Lime Aioli ,N,Yellow,False,True,False,4899.961216058133,4.822200109987209,15.725120017109122,32.5,831.34,469.34,0.46,3.11,79.63,1.51
R-16843,2022 Mashed potato,N,Green,False,False,True,6286.3611536,51.1829786,7.583804199999999,247.93,20816.22,138.11,1.12,5.45,457.32,0.17
R-16864,2022 memphis spice,N,Red,True,False,False,5003.75,66.4,10.50999999999995,905.15,27121.35,714.82,9.49,129.31,3874.48,1.5
R-16582,2022 Miso Carbonara Sauce,N,Red,True,False,False,4142.79,17.4375,5.792,46.93,16193.25,690.46,2.91,7.82,2698.88,0.97
R-15050,2022 Mushroom Burger,N,Red,True,False,False,7314.90875069934,58.98424777043166,22.042304148631523,340.63,12833.97,2698.23,21.76,125.65,4734.04,8.13
R-17028,2022 peach salsa,N,Green,False,False,True,0.0,0.0,0.0,4.26,4.26,0.0,0.0,0.1,0.1,0.0
R-14885,2022 Pesto ,Y,Red,True,False,False,3968.2324,26.7179,5.5161,1181.74,76996.52,582.71,3.92,173.53,11306.39,0.81
R-16572,2022 Pickle onion,N,Green,False,False,True,75.375,1.975,0.1325,0.48,14.25,30.15,0.79,0.19,5.7,0.05
R-16221,2022 pickled jalapeno,Y,Red,True,False,False,4685.150000000001,3.375,15.5,12.45,110.15,937.03,0.68,2.49,22.03,3.1
R-16223,2022 pickled jalepenos,N,Red,True,False,False,4685.150000000001,3.375,15.5,12.45,110.15,937.03,0.68,2.49,22.03,3.1
R-17040,2022 Pickled Onion2,Y,Green,False,False,True,301.5,7.9,0.53,1.9,57.0,30.15,0.79,0.19,5.7,0.05
R-16222,2022 pickled onions ,N,Green,False,False,True,301.5,7.9,0.53,1.9,57.0,30.15,0.79,0.19,5.7,0.05
R-16571,2022 pickling liquid,N,Green,False,False,True,2493.48374375,0.31525,2.1398,9.12,40.49,57.26,0.01,0.21,0.93,0.05
R-11125,2022 Pico De Gallo ,Y,Green,False,False,True,4309.634188042243,25.9349768006636,8.48506376009996,208.53,11772.4,127.46,0.77,6.17,348.16,0.25
R-16106,2022 po' boy slaw,N,Green,False,False,True,311.0,5.03,1.15,30.49,1423.29,47.12,0.76,4.62,215.65,0.17
R-15417,2022 Pork Gyoza ,N,Red,True,False,False,2251.147689307593,29.97779864848161,4.777752622166418,429.87,14016.98,801.84,10.68,153.12,4992.72,1.7
R-17126,2022 pork taco,N,Red,True,False,False,2759.248886291999,36.76017419708718,6.131088396627683,511.14,15465.87,604.97,8.06,112.07,3390.91,1.34
R-14692,2022 Pulao,Y,Green,False,False,True,8501.073407,43.569480250000005,8.643906349999998,3440.26,23476.91,144.27,0.74,58.38,398.42,0.15
R-16785,2022 Quinoa Croquette,N,Yellow,False,True,False,964.8831092496227,5.196746049994076,2.2910137349991078,235.13,16608.5,114.8,0.62,27.98,1976.03,0.27
