Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-45973,BEV|Fruit Water|Pineapple ,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37748,BEV|Happy Planet|Blackberry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38280,BEV|Happy Planet|Coconut Pinea,BEVERAGE,Green,False,False,True,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0,0,0.07
R-58276,BEV|Happy Planet|Extreme 'C',BEVERAGE,Green,False,False,True,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4,135,0.04
R-37786,BEV|Happy Planet|Extreme Energ,BEVERAGE,Green,False,False,True,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4,135,0.04
R-38524,BEV|Happy Planet|Extreme Green,BEVERAGE,Green,False,False,True,0.5029,0.0079,0.00119,0.08,2.94,50.29,0.79,8,294,0.12
R-37749,BEV|Happy Planet|Mango Passion,BEVERAGE,Green,False,False,True,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0,0,0.07
R-37743,BEV|Happy Planet|Raspberry,BEVERAGE,Green,False,False,True,1.6547,0.0027,0.0007,0.4,16.25,165.47,0.27,40,1625,0.07
R-45985,BEV|Hot Chocolate|Package,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47498,BEV|Ice Tea|Gold Peak|Green,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-34518,BEV|Ice Tea|Gold Peak|Lemon,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47748,BEV|Ice Tea|Gold Peak|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38528,BEV|Ice Tea|Gold Peak|Raspberr,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38527,BEV|Ice Tea|Gold Peak|Unsweet,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37825,BEV|Ice Tea|Nestea|Green|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.47,0.47,0,0,0.1,0.1,0
R-37759,BEV|Ice Tea|Nestea|Half|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-37712,BEV|Ice Tea|Nestea|Lemon|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-37827,BEV|Ice Tea|Nestea|Zero|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-45812,BEV|Ice Tea|Peace|Greenest,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45974,BEV|Ice Tea|Peace|Lemon,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45975,BEV|Ice Tea|Peace|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45978,BEV|Ice Tea|Peace|Razzleberry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37814,BEV|Ice Tea|Steaz|Asst,BEVERAGE,Green,False,False,True,195.668275,0.319275,0.082775,47.83,1921.1,82.56,0.13,20.18,810.59,0.03
R-37830,BEV|Ice Tea|Steaz|Blueberry ,BEVERAGE,Green,False,False,True,782.6731,1.2771,0.3311,190.86,7683.93,165.47,0.27,40.35,1624.51,0.07
R-40879,BEV|Ice Tea|Steaz|Coconut,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37763,BEV|Ice Tea|Steaz|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.47,0.47,0,0,0.1,0.1,0
R-38272,BEV|Ice Tea|Steaz|Peach Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.47,0.47,0,0,0.1,0.1,0
R-38948,BEV|Ice Tea|Steaz|Raspberry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.47,0.47,0,0,0.1,0.1,0
R-38265,BEV|Ice Tea|Steaz|Superfruit,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-53980,BEV|Iced Coffee|Tim's|Double,BEVERAGE,Yellow,False,True,False,951.8631,3.8394,0.87453,3.84,4170.61,401.63,1.62,1.62,1759.75,0.37
R-53981,BEV|Iced Coffee|Tim's|Vanilla,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56071,BEV|Iced Coffee|Tim's|Vanilla.,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-13186,BEV|Juice|Bulk 12oz,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-52985,BEV|Juice|Loop|Beach Bum,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49937,BEV|Juice|Loop|Big Bang,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-54316,BEV|Juice|Loop|Big Bang.,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49933,BEV|Juice|Loop|High Achiever,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-53071,BEV|Juice|Loop|King of Hill,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-53151,BEV|Juice|Loop|Loco Local,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49934,BEV|Juice|Loop|Morning Glory,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49935,BEV|Juice|Loop|Undercover,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37829,BEV|Juice|MM|Apple|355ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-37757,BEV|Juice|MM|Cranberry 355ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-37755,BEV|Juice|MM|Grapefruit|355ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-37758,BEV|Juice|MM|Lemonade|355ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-37744,BEV|Juice|MM|Orange|355ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-60815,BEV|Juice|MM|Orange|355ml.,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-45795,BEV|Juice|Odwalla|Life Food,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-45797,BEV|Juice|Odwalla|Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-45796,BEV|Juice|Odwalla|Straw Banana,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-42264,BEV|Juice|Simply|Apple 340ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-42262,BEV|Juice|Simply|Lemonade 340m,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-42263,BEV|Juice|Simply|Orange 340ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-42265,BEV|Juice|Simply|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56000,BEV|Juice|Simply|Raspberry Lem,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-41298,BEV|Milk-To-Go|Asst,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-40889,BEV|Milk-To-Go|Banana,BEVERAGE,Green,False,False,True,336.5395,1.2771,0.91289,0.47,14.8,71.15,0.27,0.1,3.13,0.19
R-58217,BEV|Milk-To-Go|Chillin' Choco,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-40885,BEV|Milk-To-Go|Choc Low Sugar,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-50127,BEV|Milk-To-Go|Chocolate,BEVERAGE,Yellow,False,True,False,1055.9725,9.2708,0.96965,93.32,4624.24,223.25,1.96,19.73,977.64,0.2
R-40882,BEV|Milk-To-Go|Iced Coffee,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-37819,BEV|Milk|237ml|2%,BEVERAGE,Yellow,False,True,False,591.6132691,5.194006752,0.543250706,52.28,2590.75,223.25,1.96,19.73,977.64,0.2
R-38534,BEV|Milk|237ml|2%&Skim|Promo,BEVERAGE,Yellow,False,True,False,576.4322184,5.060726307,0.52931066,50.94,2524.27,223.25,1.96,19.73,977.64,0.2
R-13430,BEV|Milk|237ml|Chocolate,BEVERAGE,Yellow,False,True,False,558.125,4.9,0.5125,49.32,2444.1,223.25,1.96,19.73,977.64,0.2
R-38538,BEV|Milk|237ml|Chocolate|Promo,BEVERAGE,Yellow,False,True,False,558.125,4.9,0.5125,49.32,2444.1,223.25,1.96,19.73,977.64,0.2
R-38167,BEV|Milk|237ml|Skim,BEVERAGE,Yellow,False,True,False,515.7080157,4.527604528,0.473550474,45.58,2258.35,223.25,1.96,19.73,977.64,0.2
R-38166,BEV|Milk|473 ml|2%,BEVERAGE,Yellow,False,True,False,1031.416031,9.055209055,0.947100947,91.15,4516.7,223.25,1.96,19.73,977.64,0.2
R-38539,BEV|Milk|473 ml|2%|Promo,BEVERAGE,Yellow,False,True,False,1031.416031,9.055209055,0.947100947,91.15,4516.7,223.25,1.96,19.73,977.64,0.2
R-49834,BEV|Milk|473 ml|Chocolate,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-38540,BEV|Milk|473 ml|Chocolate|Prom,BEVERAGE,Yellow,False,True,False,2.2325,0.0196,0.00205,0.2,9.78,223.25,1.96,20,978,0.2
R-61300,BEV|Milk|Almond Breeze|Vanilla,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-13574,BEV|Milk|Almond|Asst,BEVERAGE,Yellow,False,True,False,89.9052,0.38735,0.06596,57.89,4107.32,71.64,0.31,46.13,3272.76,0.05
R-55804,BEV|Milk|Almond|Chocolate,BEVERAGE,Yellow,False,True,False,175.525,0.7625,0.125,113.96,8085.27,70.21,0.3,45.58,3234.11,0.05
R-62932,BEV|Milk|AlmondBreeze|Choco,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-62933,BEV|Milk|AlmondBreeze|Vanilla,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-13192,BEV|Milk|Bulk|Chocolate 12oz,BEVERAGE,Yellow,False,True,False,792.274065,6.9556872,0.7275081,70.02,3469.47,223.25,1.96,19.73,977.64,0.2
R-13191,BEV|Milk|Bulk|White 12oz,BEVERAGE,Yellow,False,True,False,767.680845,6.7397736,0.7049253,67.84,3361.77,223.25,1.96,19.73,977.64,0.2
R-62934,BEV|Milk|Oat|Chocolate,BEVERAGE,Green,False,False,True,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7,245,0.08
R-62935,BEV|Milk|Oat|Vanilla,BEVERAGE,Green,False,False,True,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7,245,0.08
R-14388,BEV|Milk|Rice|Asst,BEVERAGE,Green,False,False,True,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157,463,0.22
R-39832,BEV|Milk|Rice|Chocolate,BEVERAGE,Green,False,False,True,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157,463,0.22
R-12397,BEV|Milk|Soy|Asst,BEVERAGE,Green,False,False,True,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0,1,0.08
R-56036,BEV|Moriyama|Latte Caffe Milk,BEVERAGE,Red,True,False,False,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3,34,2.16
R-56034,BEV|Moriyama|Latte Matcha Milk,BEVERAGE,Yellow,False,True,False,4.0163,0.0162,0.00369,0.02,17.6,401.63,1.62,2,1760,0.37
R-56035,BEV|Moriyama|Latte Tea,BEVERAGE,Yellow,False,True,False,4.0163,0.0162,0.00369,0.02,17.6,401.63,1.62,2,1760,0.37
R-13185,BEV|Pop|Bulk 12oz,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.36,0.36,0,0,0.1,0.1,0
R-38115,BEV|Pop|Canada Dry|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-38116,BEV|Pop|Coke Classic|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-63840,BEV|Pop|Coke Diet Black|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38117,BEV|Pop|Coke Diet|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-38119,BEV|Pop|Coke Life|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-64152,BEV|Pop|Coke Tst Vanilla|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-62931,BEV|Pop|Coke Vanilla|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38122,BEV|Pop|Coke Zero|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-43363,BEV|Pop|Coke|1 liter,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,1.0,1.0,0,0,0.1,0.1,0
R-49835,BEV|Pop|Coke|2 liter,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-38120,BEV|Pop|Fanta|473ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.47,0.47,0,0,0.1,0.1,0
R-46353,BEV|Pop|Fresca|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-63839,BEV|Pop|Ginger Ale Diet|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-64450,BEV|Pop|Karma|Apple,BEVERAGE,Green,False,False,True,0.3581,0.0027,0.00061,0.11,1.02,35.81,0.27,11,102,0.06
R-64747,BEV|Pop|Karma|Berry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-64749,BEV|Pop|Karma|Cherry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-64750,BEV|Pop|Karma|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-64449,BEV|Pop|Karma|Pear,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-40890,BEV|Pop|Root Beer Barq's|500ml,BEVERAGE,Green,False,False,True,476.75,4.66,0.65,3.5,13.65,95.35,0.93,0.7,2.73,0.13
R-63838,BEV|Pop|Sprite Zero|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-38118,BEV|Pop|Sprite|500ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.5,0.5,0,0,0.1,0.1,0
R-64151,BEV|Powerade|Blue Rasp|710ml,BEVERAGE,Red,True,False,False,9.3703,0.00675,0.031,0.02,0.22,937.03,0.68,2,22,3.1
R-47496,BEV|Powerade|Fruit Punch|710ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47497,BEV|Powerade|Grape|710ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47495,BEV|Powerade|Mix Berry|710ml,BEVERAGE,Red,True,False,False,9.3703,0.00675,0.031,0.02,0.22,937.03,0.68,2,22,3.1
R-56008,BEV|Rise Kombucha|Blueberry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56005,BEV|Rise Kombucha|Ginger,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49832,BEV|Spa Water Full Menu|COST,BEVERAGE,Green,False,False,True,3204.405156,17.1277,5.716435205,401.9,12861.96,1.91,0.01,0.24,7.68,0
R-41299,BEV|Tea|Hot|Asst,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-63857,BEV|Tea|Hot|Asst|Ceramic Cup,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56040,BEV|Tonica Kombucha|Blueberry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56009,BEV|Tonica Kombucha|Grapefruit,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56027,BEV|Tonica Kombucha|Green Tea,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56004,BEV|Tonica Kombucha|Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-55997,BEV|Tonica Kombucha|Original,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56072,BEV|Tonica Kombucha|Peach,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-22974,BEV|Vitasoy|Asst,BEVERAGE,Green,False,False,True,1.47168,0.000744,0.00753,0.01,0.04,147.17,0.07,1,4,0.75
R-47491,BEV|Vitasoy|Black Soy,BEVERAGE,Green,False,False,True,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0,1,0.08
R-52673,BEV|Vitasoy|Ceylon Lemon,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47492,BEV|Vitasoy|Chocolate,BEVERAGE,Red,True,False,False,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2,22,6.9
R-48906,BEV|Vitasoy|Chrysanthemum,BEVERAGE,Green,False,False,True,1.6414,0.0,0.00239,0.01,0.07,164.14,0,1,7,0.24
R-47964,BEV|Vitasoy|Coconut,BEVERAGE,Green,False,False,True,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0,1,0.08
R-47490,BEV|Vitasoy|Currant,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-53162,BEV|Vitasoy|Honey,BEVERAGE,Green,False,False,True,1.6414,0.0,0.00239,0.01,0.07,164.14,0,1,7,0.24
R-53072,BEV|Vitasoy|Lemon Tea,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-47965,BEV|Vitasoy|Low Sugar,BEVERAGE,Green,False,False,True,1.6414,0.0,0.00239,0.01,0.07,164.14,0,1,7,0.24
R-47493,BEV|Vitasoy|Lychee,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-49511,BEV|Vitasoy|Malt,BEVERAGE,Green,False,False,True,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0,1,0.08
R-47489,BEV|Vitasoy|Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-54029,BEV|Vitasoy|Melon,BEVERAGE,Green,False,False,True,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0,1,0.08
R-45987,BEV|Water Active|Black Cherry,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-46356,BEV|Water Active|Lemon Lime,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-45811,BEV|Water Active|Orange Mango,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.45,0.45,0,0,0.1,0.1,0
R-56308,BEV|Water|AHA|Blueberry Pom,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56127,BEV|Water|AHA|Peach Honey,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-56073,BEV|Water|AHA|Watermelon Lime,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-39283,BEV|Water|Coconut|Blue Monkey,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45801,BEV|Water|Coconut|Zico|1ltr,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-37677,BEV|Water|Dasani|591ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.59,0.59,0,0,0.1,0.1,0
R-45799,BEV|Water|Evian|1 liter,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-45800,BEV|Water|Evian|591ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-63847,BEV|Water|Smart Alkaline,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-63844,BEV|Water|Smart Antioxidant,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-52509,BEV|Water|Smart Sparkle|591ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
R-63841,BEV|Water|Smart Sport|700ml,BEVERAGE,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
