ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
P-15019,Butter Chicken Prep 2023 ,N,382.0070041521501,747.809619313084,6.262882311393862,1.3870410202729213,84.68,4072.17,195.76,1.64,22.17,1065.99,0.36,Yellow,Yellow
P-18296,Teriyaki Tempeh Prep 2023,N,384.3506000021,753.3787311710562,2.07609959001659,2.2802731990024987,12.05,645.0,196.01,0.54,3.14,167.82,0.59,Yellow,Green
P-17366,Chicken Teriyaki Prep 2023,Y,385.6705,1195.9818585499995,20.9217443,3.529264975,66.63,177.91,310.1,5.42,17.28,46.13,0.92,Yellow,Yellow
P-18330,Tuscan Prep 2023,N,298.01299942943,658.6216798252915,6.4192227454924975,1.2048079998174082,115.96,5196.26,221.0,2.15,38.91,1743.64,0.4,Yellow,Yellow
P-14560,2022 Caesar Wrap prep,N,415.5972916596226,729.6031111447045,8.914526267111095,1.6662743966687266,123.2,4939.94,175.56,2.14,29.64,1188.64,0.4,Green,Yellow
P-15006,2022 Power Punch Salad prep,N,210.999999832,402.0361999337744,1.6956999995464002,1.141819999929434,113.55,7939.5,190.54,0.8,53.82,3762.8,0.54,Green,Red
P-18266,KFC Gallery prep 2022,N,326.7970004242,974.9860922666022,21.637359602259178,2.527619470916388,141.78,1697.6,298.35,6.62,43.38,519.47,0.77,Yellow,Yellow
P-18275,Beets salad prep 2023 ,N,416.07170320115154,586.9801502302751,3.792046859743776,0.8036339040975963,54.91,2660.71,141.08,0.91,13.2,639.48,0.19,Green,Green
P-18313,Yam Fries prep 2023,N,501.4999999925,341.40934999622823,2.27184999994075,1.027284999991075,1.36,40.32,68.08,0.45,0.27,8.04,0.2,Green,Green
P-18316,Crispy EggPlant prep 2023,Y,887.5001448885371,1112.138594363395,11.524251144619445,2.5382050463577945,201.77,6644.63,125.31,1.3,22.73,748.69,0.29,Green,Green
R-17284, 2022 goose & Watermelon bull,N,97.5735050920004,26.842002007266554,0.1836000137484011,0.0288500021386401,2.54,90.18,27.51,0.19,2.6,92.42,0.03,Green,Green
R-18292, Vegan Caesar wrap 2022,N,437.8970416831961,409.7859013764663,3.3925425827416427,2.0000675971642283,29.07,1081.32,93.58,0.77,6.64,246.93,0.46,Green,Green
R-15423,"""Pulled Pork"" Sliders",N,208.7205,1054.95559575,13.558082400000002,2.451704909999979,210.91,6351.04,505.44,6.5,101.05,3042.84,1.17,Red,Red
R-6243,2019 Chipotle Aioli,N,32258.000000252,70693.84660012672,429.36880000199073,80.94738000029987,735.25,330063.55,219.15,1.33,2.28,1023.2,0.25,Yellow,Yellow
R-13758,2019 Falafel Edamame,Y,29669.0,42505.0281,161.0113,177.8321899999986,363.29,12654.87,143.26,0.54,1.22,42.65,0.6,Green,Green
R-13736,2019 Ginger Garlic Paste,N,2500.0,1422.425,15.85,4.5975,20.4,79.45,56.9,0.63,0.82,3.18,0.18,Green,Green
R-13737,2019 Makhni Sauce,Y,87264.160000252,129236.47502412672,896.4997000019907,159.75057240029992,6830.24,548350.48,148.1,1.03,7.83,628.38,0.18,Green,Green
R-13747,2019 Organic Quinoa,Y,16550.0,42239.516500000005,138.785,77.43474999999991,15412.64,1046938.74,255.22,0.84,93.13,6325.91,0.47,Yellow,Red
R-14906,2022  BUTTERMILK TENDERS,Y,22015.0,92463.60000000002,2375.2,234.29999999999976,7800.6,26222.8,420.0,10.79,35.43,119.11,1.06,Red,Red
R-12613,2022  Candied Pecans Batch,N,278.8294,836.3885268199999,1.41259845,1.5754114,184.36,12950.3,299.96,0.51,66.12,4644.52,0.57,Yellow,Red
R-16573,2022  Extreme Nachos,N,846.588,2920.484422,21.35608932,4.44998194,283.52,17599.14,344.97,2.52,33.49,2078.83,0.53,Yellow,Yellow
R-15511,2022  FISH TACO,N,372.4980038139604,720.4647055239144,9.250394186244108,1.4146083955634527,200.51,2396.86,193.41,2.48,53.83,643.46,0.38,Yellow,Yellow
R-10484,2022 ADD ON 1 pcs fish ,N,121.96469664052512,526.374639720487,6.040139767828916,1.0694340868196237,134.5,722.08,431.58,4.95,110.28,592.04,0.88,Red,Yellow
R-17356,2022 Aglio e Olio (Chicken),N,69.136249985,144.87327056745647,0.0634073498815,0.5903178949821485,1.42,83.17,209.55,0.09,2.05,120.3,0.85,Yellow,Green
