Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-56441,S&S|Sweet & Sour Chicken,FEAST,Yellow,False,True,False,1063.656384207571,23.680300983234808,2.5444867597335428,166.81,907.32,312.84,6.96,49.06,266.86,0.75
R-44859,S&S|Sweet & Sour Plate|Tempeh,FEAST,Green,False,False,True,616.7015231911021,2.1036888345293843,2.13906149237366,94.63,862.33,181.38,0.62,27.83,253.63,0.63
R-45192,S&S|Sweet & Sour|Pork|PLATE,FT STICKS AND SPOONS,Yellow,False,True,False,1459.1946928132782,14.026568946283597,3.819382438738584,282.43,5997.69,339.35,3.26,65.68,1394.81,0.89
R-56945,S&S|Szechuan Green Beans|SIDE,FT SIDES ,Yellow,False,True,False,307.21979450059933,0.970529117349926,2.117271376148893,3.41,239.53,204.81,0.65,2.27,159.69,1.41
R-56996,S&S|Tantanmen Ramen|Pork,FT STICKS AND SPOONS,Yellow,False,True,False,1883.6860905092883,21.83092428146953,4.185639638473494,349.33,13104.45,272.21,3.15,50.48,1893.71,0.6
R-56998,S&S|Tantanmen Ramen|Tempeh,FT STICKS AND SPOONS,Green,False,False,True,720.5548905092887,3.557324281469531,1.7549196384735084,89.6,5298.16,104.13,0.51,12.95,765.63,0.25
R-47536,S&S|Thai Aromatic Rice|Side,FT SIDES ,Green,False,False,True,191.810625,0.4281374999999999,0.1654125,118.34,351.98,127.87,0.29,78.89,234.65,0.11
R-47263,S&S|Thai Larb|Tofu,FT STICKS AND SPOONS,Green,False,False,True,680.0107901868669,4.983863166515883,1.6528559219749646,134.26,2288.65,116.24,0.85,22.95,391.22,0.28
R-57280,S&S|Tokyo Style Ramen (shoyu),FEAST,Green,False,False,True,353.69344837587124,3.881605979253014,0.9266949451777248,46.11,1375.55,61.19,0.67,7.98,237.98,0.16
R-45103,S&S|Tsukune Chicken Bowl,FT STICKS AND SPOONS,Yellow,False,True,False,915.3649347738576,10.88520841608902,1.840330698679241,240.17,6205.29,177.65,2.11,46.61,1204.33,0.36
