ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g*Sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-31948,CEREAL|Hot|Congee,OK - SOUP,154.3827972,498.176,0.1544,0.03099,30.98961,801,24822.67761,0.1,59.19,0.03
R-44315,BNO|Bowl|Ancho Chicken,FT BUENO,946.4639783,505.0,0.9465,0.187419,187.41861,4062,761294.3938,3.01,216.69,0.45
R-54301,BLOW|Sheperds Pie Cass,FT HOMESKILLET,169.2827396,510.0,0.1693,0.033193,33.192694,118,3916.737892,0.35,128.74,0.03
R-45103,S&S|Tsukune Chicken Bowl,FT STICKS AND SPOONS,953.4833458,515.25,0.9535,0.185053,185.052566,297,54960.6121,2.08,1157.12,0.35
R-52965,HS|Harissa Vegetable Stew,FT HOMESKILLET,498.8576829,525.0,0.4989,0.095021,95.020511,141,13397.89205,0.5,494.1,0.21
R-52964,HS|Moroc Lamb Stew|POP,FT HOMESKILLET,8012.849561,525.0,8.0128,1.526257,1526.257059,126,192308.3894,8.52,561.06,5.07
R-46280,S&S|Vietnemese Tofu Curry,FT STICKS AND SPOONS,540.6397543,542.0,0.5406,0.099749,99.749032,696,69425.32627,0.63,214.52,0.29
R-44357,FLX|Falafel Plate,FEAST,746.2994924,546.0,0.7463,0.136685,136.684889,959,131080.8086,0.71,385.21,0.58
R-44533,HS|Pasta Bar|Protein,FT HOMESKILLET,1665.662727,553.0,1.6657,0.301205,301.204833,1889,568975.9295,4.26,1473.11,0.59
R-54706,POP2|Glazed Trumpet Bowl,FEAST,314.5310094,553.0,0.3145,0.056877,56.877217,45,2559.474765,0.65,133.85,0.13
R-44532,HS|Vegan Pasta Bowl,FEAST,373.6303619,560.0,0.3736,0.06672,66.719707,877,58513.18304,0.69,449.17,0.16
R-47263,S&S|Thai Larb|Tofu,FT STICKS AND SPOONS,680.0107902,585.0,0.68,0.116241,116.241161,207,24061.92033,0.85,391.99,0.28
R-41308,S&S|Miso Ramen,FT STICKS AND SPOONS,242.0607668,597.1,0.2421,0.040539,40.539402,1707,69200.75921,0.43,156.16,0.12
R-56114,HS|Perogy plate|WITH SMOKIE,FT HOMESKILLET,2010.587091,600.0,2.0106,0.335098,335.097849,401,134374.2374,3.52,1922.4,0.51
R-54329,FLEX\ TofuTeriyaki bowl,FEAST,800.0505664,632.0,0.8001,0.12659,126.590279,500,63295.1395,0.53,163.63,0.31
R-53248,HS|Harvest Bowl|BVPOP,FT HOMESKILLET,857.5082694,635.0,0.8575,0.135041,135.040672,21,2835.854112,0.67,1244.55,0.32
R-44843,S&S|Udon Bowl|Vegetarian,FT STICKS AND SPOONS,347.0609536,670.1,0.3471,0.051792,51.792412,1270,65776.36324,0.49,240.83,0.15
R-53927,SLIDER|Jerk PorkDOZ|FORMAL,FEAST,5336.424623,712.0,5.3364,0.749498,749.49784,7741,5801862.779,9.4,3831.88,1.53
R-43261,S&S|Pho Vegetarian|Tofu,FEAST,410.8717036,834.7500035,0.4109,0.049221,49.220929,530,26087.09237,0.26,69.41,0.09
R-30526,SIDE|Large Bowl|32oz,FT SIDES,1401.165508,896.0,1.4012,0.15638,156.380079,2139,334496.989,1.74,929.64,0.36
R-53935,UCARE|Game Day,FT UCARE - BOXES,6.487,1008.0,0.0065,0.000644,0.643552,5,3.21776,0.01,5.31,0.0
R-25178,UCARE|Box Easter,FT UCARE - BOXES,14.204,1008.0,0.0142,0.001409,1.409127,1,1.409127,0.01,8.65,0.0
R-24712,UCAREBox Under The Weather,FT UCARE - BOXES,220.8348856,1283.999681,0.2208,0.017199,17.198983,9,154.790847,0.13,48.85,0.03
R-10741,UCARE|Box Fruit,FT UCARE - BOXES,319.5387262,1692.999574,0.3195,0.018874,18.874117,33,622.845861,0.12,43.89,0.03
R-23938,UCARE|Box Exam Survival,FT UCARE - BOXES,14.411308,2187.0,0.0144,0.000659,0.658953,27,17.791731,0.06,55.6,0.02
