invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount
255230,9002212481,1003.0400,3683,1.0000,40.4800,40.4800,CA,40.4800,TOMATO SUNDRD JULIENNE,2023-06-19,GORDON FOOD SERVICE (GFS),88,B,Y,2.500,Kg,26,16,FOOD - GROCERY,3263277,N,1.000,2.270,cs,2,Food,N,0
254039,9001876132,1331.2600,18803,1.0000,65.7500,65.7500,cs,65.7500,TOMATO SUNDRIED IN OIL,2023-05-22,GORDON FOOD SERVICE (GFS),88,B,N,8.000,L,26,16,FOOD - GROCERY,9891605,N,1.000,8.000,cs,2,Food,N,0
254310,9001753745,2491.0700,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,Y,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
254033,9001770050,1178.4600,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-05-12,GORDON FOOD SERVICE (GFS),88,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
254039,9001876132,1331.2600,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-05-22,GORDON FOOD SERVICE (GFS),88,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
254321,9001936562,2922.2700,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-05-26,GORDON FOOD SERVICE (GFS),89,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
254605,9001973218,3404.8000,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-05-30,GORDON FOOD SERVICE (GFS),89,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
254752,9002040853,1344.0800,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-06-05,GORDON FOOD SERVICE (GFS),88,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
255230,9002212481,1003.0400,3690,1.0000,98.4100,98.4100,cs,98.4100,TUNA FLAKED LT WATER TFC,2023-06-19,GORDON FOOD SERVICE (GFS),88,B,N,11.280,LG CAN,26,16,FOOD - GROCERY,7703605,N,1.880,6.000,cs,2,Food,N,0
253449,9001622196,1663.9600,9382,1.0000,20.8300,20.8300,cs,20.8300,VINEGAR APPLE CIDER PURE,2023-05-01,GORDON FOOD SERVICE (GFS),17,B,Y,10.000,bottle,26,16,FOOD - GROCERY,1179807,N,5.000,2.000,cs,2,Food,Y,0
254310,9001753745,2491.0700,3692,1.0000,58.5300,58.5300,cs,58.5300,VINEGAR BALSAMIC PAIL,2023-05-11,GORDON FOOD SERVICE (GFS),89,B,N,10.000,pail,26,16,FOOD - GROCERY,3461847,N,5.000,2.000,cs,2,Food,N,0
254229,9001936583,2566.2300,3692,1.0000,58.5300,58.5300,cs,58.5300,VINEGAR BALSAMIC PAIL,2023-05-26,GORDON FOOD SERVICE (GFS),17,B,N,10.000,pail,26,16,FOOD - GROCERY,3461847,N,5.000,2.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3694,1.0000,60.7800,60.7800,cs,60.7800,VINEGAR MALT 5PCT,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,16.000,4L,26,16,FOOD - GROCERY,3461387,N,4.000,4.000,cs,2,Food,N,0
254135,9001936596,332.3600,3695,1.0000,21.8600,21.8600,cs,21.8600,VINEGAR RED WINE TFC,2023-05-26,GORDON FOOD SERVICE (GFS),83,B,Y,10.000,pail,26,16,FOOD - GROCERY,9643805,N,5.000,2.000,cs,2,Food,N,0
254078,9001683137,12563.7100,3696,1.0000,66.0600,66.0600,cs,66.0600,VINEGAR RICE ,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,8520.000,bottle,26,16,FOOD - GROCERY,9925605,N,710.000,12.000,cs,2,Food,N,0
254703,9002069996,576.1400,3696,1.0000,66.0600,66.0600,cs,66.0600,VINEGAR RICE ,2023-06-07,GORDON FOOD SERVICE (GFS),83,B,Y,8520.000,bottle,26,16,FOOD - GROCERY,9925605,N,710.000,12.000,cs,2,Food,N,0
255359,9002243254,1178.6100,3696,1.0000,66.0600,66.0600,cs,66.0600,VINEGAR RICE ,2023-06-21,GORDON FOOD SERVICE (GFS),89,B,Y,8520.000,bottle,26,16,FOOD - GROCERY,9925605,N,710.000,12.000,cs,2,Food,N,0
254670,9001957382,2183.3900,3698,1.0000,19.7100,19.7100,cs,19.7100,VINEGAR WHITE PURE DISTILLED ,2023-05-29,GORDON FOOD SERVICE (GFS),17,B,N,20.000,pail,26,16,FOOD - GROCERY,9644005,N,5.000,4.000,cs,2,Food,N,0
254832,9001986316,1181.7900,3698,1.0000,19.7100,19.7100,cs,19.7100,VINEGAR WHITE PURE DISTILLED ,2023-05-31,GORDON FOOD SERVICE (GFS),5,B,N,20.000,pail,26,16,FOOD - GROCERY,9644005,N,5.000,4.000,cs,2,Food,N,0
254320,9001920086,1378.0100,1155,8.0000,239.9200,239.9200,cs,29.9900,WAFFLES BELGIAN SQUARE 4IN TFC,2023-05-25,GORDON FOOD SERVICE (GFS),89,B,Y,384.000,CT,26,16,FOOD - GROCERY,1258866,N,1.000,48.000,cs,2,Food,N,0
254078,9001683137,12563.7100,7949,1.0000,75.4800,75.4800,bottle,75.4800,WINE COOKING MIRIN,2023-05-05,GORDON FOOD SERVICE (GFS),89,B,Y,1.800,bottle,26,16,FOOD - GROCERY,1224270,N,1.800,6.000,cs,2,Food,N,0
