ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-3622,0.37037037,1.0,tsp,2.7,g
I-3622,0.125,1.0,Tbsp,8.0,g
I-3623,0.55555556,1.0,tsp,1.8,g
I-3623,0.18867925,1.0,Tbsp,5.3,g
I-3624,0.55555556,1.0,tsp,1.8,g
I-3624,0.18867925,1.0,Tbsp,5.3,g
I-3625,0.38461538,1.0,tsp,2.6,g
I-3625,0.12820513,1.0,Tbsp,7.8,g
I-3628,0.47619048,1.0,tsp,2.1,g
I-3628,0.15384615,1.0,Tbsp,6.5,g
I-3629,0.55555556,1.0,tsp,1.8,g
I-3629,0.2,1.0,Tbsp,5.0,g
I-3630,0.16666667,1.0,Tbsp,6.0,g
I-3632,0.32258065,1.0,tsp,3.1,g
I-3632,0.10309278,1.0,Tbsp,9.7,g
I-3633,0.55555556,1.0,tsp,1.8,g
I-3633,0.19230769,1.0,Tbsp,5.2,g
I-3634,1.0,1.0,tsp,1.0,g
I-3634,0.32258065,1.0,Tbsp,3.1,g
I-3635,0.83333333,1.0,tsp,1.2,g
I-3635,0.3030303,1.0,Tbsp,3.3,g
I-3636,1.66666667,1.0,tsp,0.6,g
I-3636,0.58823529,1.0,Tbsp,1.7,g
I-3637,0.5,1.0,tsp,2.0,g
I-3637,0.15873016,1.0,Tbsp,6.3,g
I-3638,0.45454545,1.0,tsp,2.2,g
I-3638,0.14285714,1.0,Tbsp,7.0,g
I-3639,0.41666667,1.0,tsp,2.4,g
I-3639,0.14492754,1.0,Tbsp,6.9,g
I-3640,0.43478261,1.0,tsp,2.3,g
I-3640,0.14705882,1.0,Tbsp,6.8,g
I-3641,0.43478261,1.0,tsp,2.3,g
I-3641,0.14705882,1.0,Tbsp,6.8,g
I-3642,0.14492754,1.0,Tbsp,6.9,g
I-3643,0.14492754,1.0,Tbsp,6.9,g
I-3644,0.34482759,1.0,tsp,2.9,g
I-3646,0.14084507,1.0,Tbsp,7.1,g
I-3647,0.14084507,1.0,Tbsp,7.1,g
I-3649,0.34482759,1.0,tsp,2.9,g
I-3651,1.42857143,1.0,tsp,0.7,g
I-3651,0.47619048,1.0,Tbsp,2.1,g
I-3654,0.45454545,1.0,tsp,2.2,g
I-3654,0.14705882,1.0,Tbsp,6.8,g
I-3655,0.06666667,1.0,ea,15.0,g
I-3655,1.50015002,1.5002,g,1.0,ea
I-3657,0.2173913,1.0,tsp,4.6,g
I-3657,0.00454545,1.0,cup,220.0,g
I-3658,0.2173913,1.0,tsp,4.6,g
I-3658,0.00454545,1.0,cup,220.0,g
I-3659,0.23809524,1.0,tsp,4.2,g
I-3659,0.005,1.0,cup,200.0,g
I-3660,0.23809524,1.0,tsp,4.2,g
I-3660,0.005,1.0,cup,200.0,g
I-3661,0.4,1.0,tsp,2.5,g
I-3670,0.05,1.0,Tbsp,20.0,g
I-3670,0.0031746,1.0,cup,315.0,g
I-3671,0.05,1.0,Tbsp,20.0,g
I-3671,0.00318471,1.0,cup,314.0,g
I-3676,0.00587302,0.37,L,63.0,g
I-3676,0.35211268,1.0,LG CAN,2.84,L
I-3679,0.06666667,1.0,Tbsp,15.0,g
I-3679,0.00526316,1.0,can,190.0,g
I-3679,0.00416667,1.0,cup,240.0,g
I-3681,0.004,1.0,cup,250.0,g
I-3692,0.18867925,1.0,tsp,5.3,g
I-3692,0.0625,1.0,Tbsp,16.0,g
I-3692,0.00392157,1.0,cup,255.0,g
I-3692,0.001,1.0,L,1000.0,g
I-3695,0.2,1.0,tsp,5.0,g
I-3695,0.06711409,1.0,Tbsp,14.9,g
I-3695,0.0041841,1.0,cup,239.0,g
I-3698,0.2,1.0,tsp,5.0,g
I-3698,0.06711409,1.0,Tbsp,14.9,g
I-3698,0.00420168,1.0,cup,238.0,g
I-3698,0.001,1.0,L,1000.0,g
I-3738,0.00408163,1.0,cup,245.0,g
I-3738,0.0030303,1.0,330ML,330.0,g
I-3853,0.00588235,1.0,CT,170.0,g
I-3854,0.00869565,1.0,CT,115.0,g
I-4271,0.00549451,1.0,CT,182.0,g
I-4341,0.0625,0.25,cup,4.0,g
I-4341,0.35714286,1.0,CT,2.8,oz
I-4345,0.00980392,1.0,CT,102.0,g
I-4345,0.00689655,1.0,cup,145.0,g
I-4352,0.0042735,1.0,CT,234.0,g
I-4375,0.06666667,1.0,CT,15.0,g
I-4396,0.00561798,1.0,CT,178.0,g
I-4450,0.33333333,1.0,Tbsp,3.0,g
I-4450,0.03030303,1.0,cup,33.0,g
I-4450,0.01,1.0,CT,100.0,g
I-4456,0.00520833,1.0,CT,192.0,g
I-4458,0.00549451,1.0,CT,182.0,g
I-4461,0.00549451,1.0,CT,182.0,g
I-4472,0.00735294,1.0,CT,136.0,g
I-4473,0.00735294,1.0,HEAD,136.0,g
I-4489,0.06666667,1.0,slice,15.0,g
I-4489,0.00022769,1.0,BUNCH,4392.0,g
I-4507,0.18018018,1.0,Kg,5.55,piece
I-4507,0.00847458,1.0,ea,118.0,g
I-4530,0.00675676,1.0,cup,148.0,g
I-4530,0.0030303,1.0,BASKET,330.0,g
I-4557,0.04347826,1.0,leaf,23.0,g
I-4557,0.00088183,1.0,CT,1134.0,g
I-4557,0.00088183,1.0,ea,1134.0,g
I-4560,0.0012285,1.0,CT,814.0,g
I-4569,0.0078125,1.0,cup,128.0,g
I-4574,0.00909091,1.0,cup,110.0,g
I-4588,0.33333333,1.0,slice,3.0,g
I-4588,0.00347222,1.0,BUNCH,288.0,g
I-4593,0.002,1.0,HEAD,500.0,g
I-4593,0.00170068,1.0,CT,588.0,g
I-4594,0.00119048,1.0,CT,840.0,g
I-4598,0.00125,1.0,CT,800.0,g
