ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-43922,FLX|Laksa Tofu Noodle,GV - FLEX ASIAN NOODLE,851.9922628,585.0,0.852,0.14564,145.639703,551,80247.47635,0.54,179.11,0.18
R-36854,SL|Side|Rice Brown,GV SIMPLY LOCAL,144.8021283,100.0,0.1448,0.144802,144.802128,638,92383.75766,0.69,276.44,0.38
R-54607,POP|Spicy Potato Curry|Ed,SPECIALS,570.305325,396.0,0.5703,0.144016,144.016496,101,14545.6661,0.58,169.82,0.36
R-49761,GZA|Bowl|Bibimbap Tofu,GV GYAZA,661.7398784,460.0,0.6617,0.143856,143.856495,872,125442.8636,0.71,227.85,0.19
R-36568,FF|Pasta|Spinach Avocado new,GV FRESH FARE DAY,513.656847,357.5,0.5137,0.14368,143.680237,7005,1006480.06,1.25,1000.78,0.41
R-50534,FF|Salad|UBC Power|fall2020,GV FRESH FARE FEATURE,501.8099544,357.0,0.5018,0.140563,140.563012,499,70140.94299,0.53,1246.63,0.39
R-55294,FLX|Sweet and sour tofu|SP,SPECIALS,404.0161701,295.0,0.404,0.136955,136.954634,66,9039.005844,1.13,491.71,0.37
R-44520,CAL|Side|Potato Los Cabos,GV - CALIENTE BRUNCH,125.7760251,93.0,0.1258,0.135243,135.243038,3,405.729114,1.01,28.16,0.27
R-46335,CAL|Side|Spanish Potatoes,GV - CALIENTE,125.7760251,93.0,0.1258,0.135243,135.243038,3,405.729114,1.01,28.16,0.27
R-40621,FF|Bowl|Thai Coconut,GV FRESH FARE DAY,587.9434062,443.0,0.5879,0.132719,132.718602,2557,339361.4653,0.46,217.0,0.25
R-51989,GRL|Add|Mushroom,ADD ONS,26.19421571,20.0,0.0262,0.130971,130.971079,946,123898.6407,1.71,635.05,0.36
R-53786,FLX|Side|Rice Brown,GV FLEX GLOBAL BOWL,223.368849,173.097,0.2234,0.129043,129.042588,1,129.042588,0.26,227.43,0.12
R-54299,GZA|Tofu Wakame Cone|G&G,GV GYAZA,143.1249675,112.0,0.1431,0.12779,127.79015,4,511.1606,0.7,264.63,0.18
R-55234,FF|Pasta|Tomato basil,GV FRESH FARE DAY,368.2190648,294.0,0.3682,0.125245,125.24458,56,7013.69648,1.61,1264.7,0.39
R-57248,SL|Veg blend|SL,FOOD,282.0823553,230.0,0.2821,0.122645,122.644502,84,10302.13817,1.24,299.72,0.45
R-38028,SIDE|Fruit Topper|4oz,GV - SIDES,136.9203917,112.0,0.1369,0.12225,122.25035,2195,268339.5183,1.34,754.78,0.25
R-53779,FNH|Autum Salad|N13,SPECIALS,333.5667088,275.9999254,0.3336,0.120858,120.857536,22,2658.865792,0.55,1194.74,0.26
R-50532,GZA|Salad|Sunomono,GV GYAZA,203.5756111,170.0,0.2036,0.11975,119.750359,1,119.750359,0.53,275.58,0.12
R-44784,CAL|Side|Brown Rice Chipotle,GV - CALIENTE BRUNCH,155.2329221,130.0,0.1552,0.11941,119.40994,10,1194.0994,0.3,216.64,0.1
R-54251,G&G|Salad Asian|D19,SPECIALS,201.7126188,175.0,0.2017,0.115264,115.264354,7,806.850478,0.83,1419.25,0.23
R-53324,Eat It|Glazed Chick Plate|POP,SPECIALS,292.2787963,257.0,0.2923,0.113727,113.727158,77,8756.991166,0.9,501.47,0.15
R-17126,SL|Side|Vegetable Fancy,GV SIMPLY LOCAL,146.2705988,129.0,0.1463,0.113388,113.388061,985,111687.2401,1.35,260.05,0.35
R-44324,DEL|Salad|Marinated Tofu,GV - DELISH,328.9681557,292.5,0.329,0.112468,112.467746,424,47686.3243,0.69,254.36,0.28
R-38014,SIDE|Soup|16oz,GV - SOUP,529.0441372,473.176,0.529,0.111807,111.807052,10590,1184036.681,0.98,213.32,0.37
R-38026,SIDE|Soup|8oz,GV - SOUP,264.5220686,236.588,0.2645,0.111807,111.807052,5857,654853.9036,0.98,213.32,0.37
R-55086,FLX|Rotini Veggie SunDry Pesto,SPECIALS,481.8968486,437.796,0.4819,0.110073,110.073379,67,7374.916393,1.25,697.21,0.24
R-53770,FREE|Greens|Marinated Tofu|,GV - DELISH,243.8996049,225.5,0.2439,0.108159,108.15947,1,108.15947,0.74,293.88,0.25
R-43886,SAND|Falafel Full Build,GV-SANDWICH,320.9008396,300.0,0.3209,0.106967,106.966947,2289,244847.3417,2.58,1769.52,0.91
R-48467,G&G|Cup|Fruit Loop Medley,GV - GRAB & GO,251.345,236.588125,0.2513,0.106237,106.237369,114,12111.06007,0.42,759.02,0.33
R-44774,GRL|Side|Yam Fries,GV GRILL DAY,212.4160051,202.0,0.2124,0.105156,105.156438,4388,461426.4499,0.53,107.24,0.32
R-50013,GZA|Combo|Bibimbap Miso|SP,SPECIALS,662.8690074,645.0,0.6629,0.10277,102.770389,4,411.081556,0.51,162.9,0.14
R-57247,SL|Veg blend|UBC,FOOD,205.4863072,200.0,0.2055,0.102743,102.743154,84,8630.424936,1.46,214.42,0.24
R-50333,FF|Bowl|Roasted squash,GV FRESH FARE DAY,375.7283683,375.0,0.3757,0.100194,100.194232,311,31160.40615,0.63,198.14,0.22
R-50363,GZA|Bowl|Acorn Squash,GV GYAZA,382.4264579,385.0,0.3824,0.099332,99.331547,533,52943.71455,0.39,120.6,0.21
R-43902,FLX|Soba Noodle & Broccoli|NB,GV - FLEX ASIAN NOODLE,293.00587,295.0,0.293,0.099324,99.324024,148,14699.95555,0.77,453.02,0.26
R-46326,SL|Chicken Breast plate,GV SIMPLY LOCAL,191.8075146,195.125,0.1918,0.0983,98.299815,345,33913.43618,0.66,278.62,0.22
R-54039,FF|Bowl|Kale,GV FRESH FARE DAY,262.6435059,278.0,0.2626,0.094476,94.476081,81,7652.562561,1.01,351.74,0.3
R-53776,FNH|Pumpkin Soup|N13,SPECIALS,272.5561478,292.0,0.2726,0.093341,93.341147,31,2893.575557,1.13,446.96,0.17
R-47535,G&G|Chips|Taro House-Made,GV - GRAB & GO,138.3531339,151.3,0.1384,0.091443,91.442917,47,4297.817099,0.59,72.81,0.25
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH,317.8460082,348.0,0.3178,0.091335,91.33506,463,42288.13278,0.24,178.35,0.1
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY,602.328352,660.0,0.6023,0.091262,91.261872,35,3194.16552,0.58,272.31,0.38
R-28374,SAND|Vegetable Full Build,GV-SANDWICH,226.908917,249.5735,0.2269,0.090919,90.918674,1422,129286.3544,2.95,2101.29,0.85
R-54764,G&G|Rotini & Veggie Pesto,GV - GRAB & GO,329.9298236,385.0,0.3299,0.085696,85.696058,32,2742.273856,0.82,455.88,0.29
R-50300,DEL|Salad|Ubc Fresh,GV - DELISH,191.0213852,225.0,0.191,0.084898,84.898393,33,2801.646969,0.82,132.89,0.29
R-54956,FLX|Chowder Chowdown|SP,SPECIALS,278.8301602,330.25,0.2788,0.08443,84.430026,4,337.720104,1.75,97.74,0.07
R-46330,SL|Side|Quinoa,GV SIMPLY LOCAL,139.7157858,170.097,0.1397,0.082139,82.138889,149,12238.69446,0.33,586.87,0.25
R-48469,G&G|Cup|Pineapple Ring Dried,GV - GRAB & GO,192.205,236.588125,0.1922,0.08124,81.240341,82,6661.707962,0.32,580.43,0.25
R-36639,GRL|Salad|Signature,GV GRILL DAY,84.90455252,105.0,0.0849,0.080861,80.861479,45,3638.766555,0.72,204.01,0.24
R-37685,GRL|Salad|Signature Greens,GV GRILL DAY,84.90455252,105.0,0.0849,0.080861,80.861479,1627,131561.6263,0.72,204.01,0.24
R-44930,FLX|PHO Veg Noodle Soup,GV - FLEX ASIAN NOODLE,398.5574308,506.0,0.3986,0.078766,78.766291,153,12051.24252,0.47,115.87,0.16
R-52828,BBC|High tideline salad|POP,SPECIALS,130.0213031,174.0,0.13,0.074725,74.724887,8,597.799096,0.9,495.61,0.2
R-44768,FLX|Steamed Vegetables|NB,GV - FLEX ASIAN NOODLE,99.45249403,135.0,0.0995,0.073669,73.668514,25,1841.71285,1.04,289.39,0.26
R-49825,DEL|Rotini Pesto|Salad,SPECIALS,256.2065168,350.0,0.2562,0.073202,73.201862,44,3220.881928,0.9,550.48,0.21
R-47363,CAL|Side|Pico de Gallo,GV - CALIENTE,84.22833588,120.0,0.0842,0.07019,70.19028,6,421.14168,0.93,406.95,0.04
R-36552,FF|Yaki Soba Miso Noodle|SP,GV FRESH FARE DAY,470.3599634,683.0,0.4704,0.068867,68.866759,189,13015.81745,0.75,485.84,0.24
R-45468,GRL|Add|Spinach,ADD ONS,22.48761837,33.0,0.0225,0.068144,68.144298,705,48041.73009,0.73,267.52,0.19
R-45233,GRL|Side|Potato Fries,GV GRILL DAY,150.9709245,230.0,0.151,0.06564,65.639532,15725,1032181.641,0.63,34.48,0.13
R-44777,GRL|Poutine|Mushroom,GV GRILL DAY,277.7552952,431.0,0.2778,0.064444,64.444384,45,2899.99728,0.73,172.99,0.15
R-43867,FLX|Bao,GV FLEX BAO,161.6944354,251.0,0.1617,0.06442,64.420094,36,2319.123384,0.82,436.22,0.17
R-36856,SL|Potato|Smashed kale,GV - FLEX BC,107.2793426,180.0,0.1073,0.0596,59.599635,79,4708.371165,0.53,17.87,0.14
R-52652,SL|Side|Roasted Potato,GV SIMPLY LOCAL,104.3184383,180.0,0.1043,0.057955,57.954688,101,5853.423488,0.63,18.53,0.1
R-51254,FLX|Carrot Noodle|PF,GV-FLEX PLANT FORWARD,61.1986521,106.0,0.0612,0.057735,57.734577,4,230.938308,0.91,92.29,0.14
R-55319,G&G|Rotini Veggie SunDry Pesto,GV - GRAB & GO,246.3331715,436.796,0.2463,0.056395,56.395473,14,789.536622,0.76,428.65,0.15
R-51249,GZA|Combo|Miso+Cone|CHICK,GV GYAZA,319.0517223,577.0,0.3191,0.055295,55.294926,2,110.589852,0.94,86.58,0.13
R-47098,DOD|Potato salad|FLX,GV-FLEX DOD,162.8515412,300.0,0.1629,0.054284,54.283847,2,108.567694,0.56,19.32,0.06
R-44915,GRL|Hash|Lemon Truffle Delux,GV - GRILL BREAKFAST,131.7537587,258.0,0.1318,0.051067,51.067348,4691,239556.9295,0.52,15.56,0.1
R-50364,GZA|Combo|Miso+Cone|SAL,GV GYAZA,263.0058076,587.5,0.263,0.044767,44.766946,230,10296.39758,0.43,103.02,0.08
R-53289,CAL|Soup|Mexican Veggie|Sp,GV - CALIENTE,200.8113593,450.0,0.2008,0.044625,44.624747,41,1829.614627,0.95,652.68,0.32
R-45802,FRUIT|Avocado,GV - FRUIT,58.56160937,136.0000218,0.0586,0.04306,43.06,3532,152087.92,0.27,0.47,0.07
R-13566,FRUIT|Kiwi,GV - FRUIT,29.71140743,69.00001725,0.0297,0.04306,43.06,366,15759.96,0.27,0.46,0.07
R-13948,FRUIT|Canteloupe|1/4 cut,GV - FRUIT,59.42293786,138.0003202,0.0594,0.04306,43.06,214,9214.84,0.27,0.47,0.07
R-13575,FRUIT|Cup|Grapes,GV - FRUIT,48.8291788,113.398,0.0488,0.04306,43.06,184,7923.04,0.27,0.47,0.07
R-13576,FRUIT|Honeydew 1/4 Cut,GV - FRUIT,161.4741926,374.998125,0.1615,0.04306,43.06,161,6932.66,0.27,0.47,0.07
R-44791,CAL|Side|Guacamole,GV - CALIENTE,19.377,45.0,0.0194,0.04306,43.06,26,1119.56,0.27,0.47,0.07
R-46351,FRUIT|Nectarine,GV - FRUIT,61.14523057,142.000071,0.0611,0.04306,43.06,1,43.06,0.27,0.47,0.07
R-16240,FRUIT|Pear|Bartlet,GV - FRUIT,76.64676628,177.9999217,0.0766,0.04306,43.06,1,43.06,0.27,0.47,0.07
R-51247,GZA|Combo|Miso+Cone|TUN,GV GYAZA,239.3727035,557.5,0.2394,0.042937,42.936808,101,4336.617608,0.47,100.69,0.08
R-55090,FREE|Greens|Spin Avocado Pasta,GV FRESH FARE DAY,541.5918774,1355.0,0.5416,0.03997,39.96988,1,39.96988,0.37,296.19,0.1
R-39821,G&G|Chips|Hardbite|Rocksalt,GV - GRAB & GO,19.85,50.0,0.0199,0.0397,39.7,365,14490.5,0.5,7.84,0.05
R-13564,FRUIT|Orange Whole,GV - FRUIT,51.64018502,130.999962,0.0516,0.03942,39.42,2981,117511.02,0.27,134.55,0.04
R-34978,FRUIT|Grapefruit,GV - FRUIT,48.48660776,123.0000197,0.0485,0.03942,39.42,759,29919.78,0.27,134.55,0.04
R-38544,FRUIT|Lemon,GV - FRUIT,33.1128053,84.00001344,0.0331,0.03942,39.42,322,12693.24,0.27,134.55,0.04
R-42550,FRUIT|Lime,GV - FRUIT,26.41140555,67.00001407,0.0264,0.03942,39.42,227,8948.34,0.27,134.55,0.04
R-47747,FREE|Green-To-Go|Orange,GV - GRAB & GO,51.64018502,130.999962,0.0516,0.03942,39.42,37,1458.54,0.27,134.55,0.04
R-46333,FRUIT|Mandarin,GV - FRUIT,39.42,100.0,0.0394,0.03942,39.42,1,39.42,0.27,134.55,0.04
R-40891,FRUIT|Orange Cut,GV - FRUIT,51.64018502,132.999962,0.0516,0.038827,38.827218,1208,46903.27934,0.27,132.53,0.04
R-37051,FLX|Side Naan,GV FLEX GLOBAL BOWL,95.70990834,250.0,0.0957,0.038284,38.283963,638,24425.16839,1.04,776.57,0.28
R-47001,FREE|Green-To-Go|Fruit,GV - GRAB & GO,49.57482494,135.5999029,0.0496,0.03656,36.559632,199,7275.366768,0.27,86.51,0.09
R-39817,FRUIT|Apple|BC Asst,GV - FRUIT,82.14448195,229.3897848,0.0821,0.03581,35.81,3481,124654.61,0.27,102.47,0.06
R-13560,FRUIT|Apple|Gala,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,2085,74663.85,0.27,102.47,0.06
R-13563,FRUIT|Apple|Red Delicious,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,1236,44261.16,0.27,102.47,0.06
R-13562,FRUIT|Apple|Granny Smith,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,1105,39570.05,0.27,102.47,0.06
R-13559,FRUIT|Apple|Fuji 64,GV - FRUIT,68.755244,192.0001229,0.0688,0.03581,35.81,1014,36311.34,0.27,102.47,0.06
R-34989,FRUIT|Apple|Golden Delicious,GV - FRUIT,60.51889758,168.9999932,0.0605,0.03581,35.81,572,20483.32,0.27,102.47,0.06
R-49588,FRUIT|Apple|Ambrosia,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,283,10134.23,0.27,102.47,0.06
R-37832,FRUIT|Apple|Fuji 113ct,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,92,3294.52,0.27,102.47,0.06
R-47000,FREE|Green-To-Go|Apple Asst,GV - GRAB & GO,65.17414656,181.9998508,0.0652,0.03581,35.81,86,3079.66,0.27,102.47,0.06
R-49587,FRUIT|Apple|Macintosh,GV - FRUIT,65.17414656,181.9998508,0.0652,0.03581,35.81,43,1539.83,0.27,102.47,0.06
R-53356,POP|Fennel Bouillabaisse|MR,SPECIALS,83.284362,236.0,0.0833,0.03529,35.289984,62,2187.979008,0.44,129.11,0.05
R-14102,SIDE|SoupCongee|Plain,GV - SOUP,146.2343368,453.592,0.1462,0.032239,32.239179,416,13411.49846,0.08,51.36,0.04
R-50508,GZA|Soup|Miso,GV GYAZA,75.29770104,485.0,0.0753,0.015525,15.525299,1,15.525299,0.06,1.59,0.04
R-49912,GZA|Miso for cone|SP,SPECIALS,1.129129,185.0,0.0011,0.00061,0.61034,101,61.64434,0.01,1.41,0.0
R-30499,DEL|Des|Soft Serve|8oz,GV - DELISH,0.222372267,224.0,0.0002,9.9e-05,0.099273,42,4.169466,0.0,0.5,0.0
