ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-52503,DIM SUM|Dry Pork Stirfry|SP,GV - DIM SUM,2521.757328,384.0,2.5218,0.656708,656.707637,187,122804.3281,8.38,3372.59,1.35
R-54003,GRL|Benny|Chorizo,GV - GRILL BREAKFAST,1359.888479,221.0,1.3599,0.615334,615.334154,78,47996.06401,6.17,2609.68,0.96
R-52826,FLX|Salmon Chowder 240ml,GV - FLEX BC,2071.680578,349.0,2.0717,0.593605,593.60475,67,39771.51825,5.21,1927.93,0.8
R-44583,CAL|Taco|Mojo pork(1),GV - CALIENTE,866.8126096,147.0,0.8668,0.589668,589.668442,2209,1302577.588,4.32,2117.1,0.85
R-46329,GRL|ADD|Chicken Thigh (2),GV GRILL DAY,1044.939332,180.0,1.0449,0.580522,580.521851,1579,916644.0027,15.03,43.17,1.52
R-44903,SL|Herbed chicken breast|150g,GV SIMPLY LOCAL,809.1465179,153.0,0.8091,0.528854,528.853933,200,105770.7866,14.02,49.72,1.38
R-53788,GRL|English Muffin Sand|SP,GV - GRILL BREAKFAST,256.9291037,49.00000061,0.2569,0.524345,524.345103,81,42471.95334,3.47,2000.35,0.6
R-51180,SL|Porchetta Plate|sample,GV SIMPLY LOCAL,2513.487125,480.0,2.5135,0.523643,523.643151,685,358695.5584,6.58,2624.01,1.15
R-46325,SL|Chicken Breast,GV SIMPLY LOCAL,900.7010682,173.5,0.9007,0.519136,519.136062,49,25437.66704,13.6,48.43,1.37
R-44799,SL|Chicken Breast|Lemon Thyme,GV SIMPLY LOCAL,992.2556184,194.0,0.9923,0.511472,511.471968,345,176457.829,13.27,47.42,1.36
R-54307,FLX|Bao|Bun|Pork Belly (1 ea),GV FLEX BAO,697.5617056,139.0,0.6976,0.501843,501.842954,412,206759.297,6.67,2802.37,1.08
R-54173,CALI|Churros|THREE,SPECIALS,90.21896939,18.0,0.0902,0.501216,501.216497,108,54131.38168,2.67,2203.78,0.63
R-53418,POP|Meat lover dog|TEN,SPECIALS,273.0097545,56.0,0.273,0.487517,487.517419,236,115054.1109,3.47,2051.02,0.71
R-54643,DIM SUM|Chicken Stirfry|SP,GV - DIM SUM,1868.160528,384.0,1.8682,0.4865,486.500137,57,27730.50781,11.34,239.0,1.18
R-44779,GRL|Chick Wings|W/O Gluten,GV GRILL DAY,2406.881154,497.0,2.4069,0.484282,484.281922,6527,3160908.105,8.97,97.82,1.09
R-47592,FNH|Rigatoni Baked,SPECIALS,1435.789312,296.7,1.4358,0.48392,483.919552,5,2419.59776,6.2,3708.8,0.87
R-54638,SS|POP|Chiles|Rellenos|Squares,SPECIALS,1335.895444,278.0,1.3359,0.480538,480.53793,30,14416.1379,5.6,3311.27,0.69
R-45376,SL|Maple salmon|100g,GV SIMPLY LOCAL,692.9191425,150.0,0.6929,0.461946,461.946095,524,242059.7538,5.87,744.65,0.82
R-53783,FNH|Chicken&Couscous plate|N13,SPECIALS,1490.196234,330.0,1.4902,0.451575,451.574616,88,39738.56621,10.33,467.83,1.22
R-44682,SAND|Add Turkey,GV-SANDWICH,219.98,50.0,0.22,0.43996,439.96,376,165424.96,11.68,33.36,1.15
