ProdId,Description,SalesGroup
R-61748,Veg|Loaded Sweet Potato.,OK - VEGETARIAN KITCHEN
R-35782,VEG|MIso Glazed Veg Bowl,OK- VEGETARIAN KITCHEN FEATURE
R-58351,VEG|Pasta|Harvest Squash,OK- VEGETARIAN KITCHEN FEATURE
R-36568,VEG|Pasta|Spinach Avocado,OK - VEGETARIAN KITCHEN
R-50401,VEG|Platter|Mezze,OK- VEGETARIAN KITCHEN FEATURE
R-35319,VEG|SOUP|Miso Dumpling,OK- VEGETARIAN KITCHEN FEATURE
R-27405,VEG|Southwest Bowl,OK - VEGETARIAN KITCHEN
R-55133,VEG|Spin Artichoke Quesadilla,OK - VEGETARIAN KITCHEN
R-60319,VEG|Spin Mush Avo Quesadilla,OK- VEGETARIAN KITCHEN FEATURE
R-35461,VEG|Tabouleh Bowl,OK - VEGETARIAN KITCHEN
R-61744,VEG|Toast|Charred Broccoli,OK- VEGETARIAN KITCHEN FEATURE
R-58716,VEG|Toast|Mushroom,OK - VEGETARIAN KITCHEN
R-61750,VEG|TOAST|Roasted Carrot,OK- VEGETARIAN KITCHEN FEATURE
R-61625,SIDE|Coleslaw,SPECIALS
R-61787,SIDE|Green Bean & Coconut,OK - SQUARE MEAL
R-61784,SIDE|Turmeric Rice,OK - SQUARE MEAL
R-28340,SQR|Baked Beans 140g,OK - SQUARE MEAL
R-61799,SQR|Balinese Pork Chop,OK - SQUARE MEAL
R-61800,SQR|Balinese Pork Chop +1,OK - SQUARE MEAL
R-61801,SQR|Balinese Pork Chop +2,OK - SQUARE MEAL
R-61760,SQR|Corn Fritters,OK - SQUARE MEAL
R-61761,SQR|Corn Fritters + 1,OK - SQUARE MEAL
R-61762,SQR|Corn Fritters + 2,OK - SQUARE MEAL
R-37081,SQR|House Roast Chicken+1,OK - SQUARE MEAL
R-37082,SQR|House Roast Chicken+2,OK - SQUARE MEAL
R-28355,SQR|House Roasted Chicken 200g,OK - SQUARE MEAL
R-57587,SQR|Mashed Potato,OK - SQUARE MEAL
R-28363,SQR|Mashed Potato 170g,OK - SQUARE MEAL
R-57375,SQR|Mushroom Ravioli,OK - SQUARE MEAL
R-61292,SQR|Mushroom Ravioli +1,OK - SQUARE MEAL
R-61305,SQR|Mushroom Ravioli +2,OK - SQUARE MEAL
R-34024,SQR|Roast|Cauliflower|Wedge,OK - SQUARE MEAL
R-51309,SQR|Roast|Cauliflower|Wedge+1,OK - SQUARE MEAL
R-51310,SQR|Roast|Cauliflower|Wedge+2,OK - SQUARE MEAL
R-28338,SQR|Slow Roasted Ribs 170g,OK - SQUARE MEAL
R-40749,SQR|Slow Roasted Ribs+1,OK - SQUARE MEAL
R-40750,SQR|Slow Roasted Ribs+2,OK - SQUARE MEAL
R-61792,SQR|STEW|Beef & Mushroom,OK - SQUARE MEAL
R-61793,SQR|STEW|Beef & Mushroom +1,OK - SQUARE MEAL
R-61794,SQR|STEW|Beef & Mushroom +2,OK - SQUARE MEAL
R-61809,SQR|STEW|Mushroom & Squash,OK - SQUARE MEAL
R-61807,SQR|STEW|Mushroom & Squash +1,OK - SQUARE MEAL
R-61808,SQR|STEW|Mushroom & Squash+2,OK - SQUARE MEAL
R-61803,SQR|Sweet & Spicy Tempe,OK - SQUARE MEAL
R-61804,SQR|Sweet & Spicy Tempe +1,OK - SQUARE MEAL
R-61805,SQR|Sweet & Spicy Tempe +2,OK - SQUARE MEAL
R-35270,GRL|Burger|Bacon Mush Swiss,OK - GRILL KITCHEN DAY
R-50323,GRL|Burger|Blue Cheese,OK - GRILL KITCHEN DAY
R-28250,GRL|Burger|Cheeseburger,OK - GRILL KITCHEN DAY
R-28249,GRL|Burger|Classic Beef,OK - GRILL KITCHEN DAY
R-54296,GRL|Burger|Mexi Burger,OK - GRILL KITCHEN DAY
R-28252,GRL|Burger|Shacks,OK - GRILL KITCHEN DAY
R-56460,GRL|Burger|Tokyo,OK - GRILL KITCHEN DAY
R-30954,GRL|Chicken Breast,OK - GRILL KITCHEN DAY
R-54583,GRL|Chicken Burger|BBQ,OK - GRILL KITCHEN DAY
R-35714,GRL|Chicken Burger|Blackened,OK - GRILL KITCHEN DAY
R-50466,GRL|Chicken Burger|Buffalo,OK - GRILL KITCHEN DAY
R-28251,GRL|Chicken Burger|California,OK - GRILL KITCHEN DAY
R-51202,GRL|Chicken Burger|Garden Veg,OK - GRILL KITCHEN DAY
R-50662,GRL|Chicken Burger|Greek,OK - GRILL KITCHEN DAY
R-43964,GRL|Chicken Burger|Thai Chili,OK - GRILL KITCHEN DAY
R-61731,GRL|Crepe|Mixed Berry,OK - GRILL KITCHEN BREAKFAST
R-28254,GRL|GrilledCheese|3 Cheese Tom,OK - GRILL KITCHEN DAY
R-50669,GRL|GrilledCheese|Bacon Avoca,OK - GRILL KITCHEN DAY
R-57405,GRL|GrilledCheese|Classic,OK - GRILL KITCHEN DAY
R-12347,GRL|Veg Burger|Black Bean,OK - GRILL KITCHEN DAY
R-50656,GRL|Veg Burger|Chickpea,OK - GRILL KITCHEN DAY
R-60324,GRL|Veg Burger|Lentil,SPECIALS
R-35655,GRL|Veg Burger|Portobello,OK- VEGETARIAN KITCHEN FEATURE
R-53084,GRL|Veg Burger|Ultimate,OK - GRILL KITCHEN DAY
R-57362,SIDE|Ginger Broccoli,OK - SQUARE MEAL
R-58341,SIDE|Sunamono,OK - SQUARE MEAL
R-55163,SQR|Bacon Avo Blue Dog,OK - SQUARE MEAL
R-61683,SQR|Chorizo Dog,OK - SQUARE MEAL
R-56883,SQR|Classic Hotdog,OK - SQUARE MEAL
R-57569,SQR|Classic Hotdog veg,OK - SQUARE MEAL
R-43922,SQR|Laksa Tofu,OK - SQUARE MEAL
R-57051,SQR|Laksa Tofu +1,OK - SQUARE MEAL
R-57052,SQR|Laksa Tofu +2,OK - SQUARE MEAL
R-55165,SQR|Mac & Cheese Dog,OK - SQUARE MEAL
R-57570,SQR|Mac & Cheese Dog veg,OK - SQUARE MEAL
R-45203,SQR|Salmon Laksa,OK - SQUARE MEAL
R-56866,SQR|Salmon Laksa +2,OK - SQUARE MEAL
R-57567,SQR|Veg Avo Blue Dog,OK - SQUARE MEAL
R-56865,SQRSalmon Laksa +1,OK - SQUARE MEAL
R-60769,SALAD|Watermelon & Feta,OK - SQUARE MEAL
R-61818,SIDE|Quinoa,OK - SIDES
R-61815,SIDE|Smkd Apple Veg Sausage,OK - SIDES
R-60820,SIDES|Mashed Potato|VEGAN,OK - SIDES
R-60819,SIDES|Minted Peas|VEGAN,OK - SIDES
R-57338,SQR|Bangers & Mash,OK - SQUARE MEAL
R-57340,SQR|Bangers & Mash+1,OK - SQUARE MEAL
R-51313,SQR|Chayote Salad Tostadas,OK - SQUARE MEAL
R-56837,SQR|Chicken Marbella,OK - SQUARE MEAL
R-57332,SQR|Chicken Marbella+1,OK - SQUARE MEAL
R-57331,SQR|Chicken Marbella+2,OK - SQUARE MEAL
R-44975,SQR|Elotes 120g,OK - SQUARE MEAL
R-32752,SQR|Greek Chicken Skewer,OK - SQUARE MEAL
R-38664,SQR|Greek Chicken Skewer +1,OK - SQUARE MEAL
R-38665,SQR|Greek Chicken Skewer +2,OK - SQUARE MEAL
R-32757,SQR|Lemon Roasted Potatoes,OK - SQUARE MEAL
R-37055,SQR|Porchetta +1,OK - SQUARE MEAL
R-37056,SQR|Porchetta +2,OK - SQUARE MEAL
R-35815,SQR|Porchetta 130g,OK - SQUARE MEAL
R-50560,SQR|Pulled Pork Tostada,OK - SQUARE MEAL
R-51311,SQR|Pulled Pork Tostada+1,OK - SQUARE MEAL
R-51312,SQR|Pulled Pork Tostada+2,OK - SQUARE MEAL
R-45744,SQR|Rice And Beans 170g,OK - SQUARE MEAL
R-57334,SQR|Tempe Marbella,OK - SQUARE MEAL
R-57333,SQR|Tempe Marbella+1,OK - SQUARE MEAL
R-57084,SQR|Tempe Marbella+2,OK - SQUARE MEAL
R-57343,SQR|Veg Bangers & Mash,OK - SQUARE MEAL
R-57342,SQR|Veg Bangers & Mash+1,OK - SQUARE MEAL
R-51314,SQU|Chayote Salad Tostadas+1,OK - SQUARE MEAL
R-50440,SQU|Chayote Salad Tostadas+2,OK - SQUARE MEAL
R-26808,BRUNCH|Quiche|3 Cheese,OK - SQUARE MEAL
R-51258,BRUNCH|Quiche|Denver,OK - SQUARE MEAL
R-57035,BRUNCH|Quiche|Ham&Cheese,OK - SQUARE MEAL
R-57034,BRUNCH|Quiche|Smoked Salmon,OK - SQUARE MEAL
R-51196,BRUNCH|Quiche|Spinach & Feta,OK - SQUARE MEAL
R-26809,BRUNCH|Quiche|Western,OK - SQUARE MEAL
R-61770,SQR|Chicken Pot Pie,OK - SQUARE MEAL
R-61771,SQR|Chicken Pot Pie + 1,OK - SQUARE MEAL
R-61772,SQR|Chicken Pot Pie + 2,OK - SQUARE MEAL
R-57089,SQR|Edamame Puree,OK - SQUARE MEAL
R-57153,SQR|Pork Katsu,OK - SQUARE MEAL
R-57582,SQR|Pork Katsu +1,OK - SQUARE MEAL
R-57583,SQR|Pork Katsu +2,OK - SQUARE MEAL
R-61773,SQR|Root Veg Pot Pie,OK - SQUARE MEAL
R-61774,SQR|Root Veg Pot Pie + 1,OK - SQUARE MEAL
R-61775,SQR|Root Veg Pot Pie + 2,OK - SQUARE MEAL
R-45152,SQR|Salad|RoastedPineapple,OK - SQUARE MEAL
R-45151,SQR|Shoyu Chicken +1,OK - SQUARE MEAL
R-45153,SQR|Shoyu Chicken +2,OK - SQUARE MEAL
R-45150,SQR|Shoyu Chicken 170g (1pc),OK - SQUARE MEAL
R-50390,SQR|Shoyu Tofu 150g,OK - SQUARE MEAL
R-51305,SQR|Shoyu Tofu+1,OK - SQUARE MEAL
R-51306,SQR|Shoyu Tofu+2,OK - SQUARE MEAL
R-57328,SQR|Sweet Potato Katsu,OK - SQUARE MEAL
R-57329,SQR|Sweet Potato Katsu+1,OK - SQUARE MEAL
R-57581,SQR|Sweet Potato Katsu+2,OK - SQUARE MEAL
R-61655,GRL|Salad|Caesar|SIDE,OK - GRILL KITCHEN DAY
R-56901,SALAD|Green Papaya,OK - SQUARE MEAL
R-38518,SQR|Citrus Cous-Cous 170g,OK - SQUARE MEAL
R-46844,SQR|Mushroom Bao+1,OK - SQUARE MEAL
R-35735,SQR|MushroomBao,OK - SQUARE MEAL
R-46845,SQR|MushroomBao+2,OK - SQUARE MEAL
R-61622,SQR|PASTA|Beef Lasagna,OK - SQUARE MEAL
R-61623,SQR|PASTA|Beef Lasagna +1,OK - SQUARE MEAL
R-61624,SQR|PASTA|Beef Lasagna +2,OK - SQUARE MEAL
R-55245,SQR|Peri Peri Chicken,OK - SQUARE MEAL
R-61701,SQR|Peri Peri Chicken +1,OK - SQUARE MEAL
R-61702,SQR|Peri Peri Chicken +2,OK - SQUARE MEAL
R-32866,SQR|Pork Belly Bao,OK - SQUARE MEAL
R-40745,SQR|Pork Belly Bao+1,OK - SQUARE MEAL
R-40746,SQR|Pork Belly Bao+2,OK - SQUARE MEAL
R-61766,SQR|Potato Croquette,OK - SQUARE MEAL
R-61767,SQR|Potato Croquette + 1,OK - SQUARE MEAL
R-61768,SQR|Potato Croquette + 2,OK - SQUARE MEAL
R-50524,SQR|Salad|Warm Carrot 150g,OK - SQUARE MEAL
R-32869,SQR|Stirfried Mix Veg 170g,OK - SQUARE MEAL
R-45190,SQR|Thai Chicken Thigh +1,OK - SQUARE MEAL
R-45191,SQR|Thai Chicken Thigh +2,OK - SQUARE MEAL
R-45020,SQR|Thai Chicken Thighs,OK - SQUARE MEAL
R-55609,SQR|Veg Fried Rice,OK - SQUARE MEAL
R-45202,SQR|Vegan Pad Thai +2,OK - SQUARE MEAL
R-44350,SQR|Vegan Pad Thai 350g,OK - SQUARE MEAL
R-45201,SQR|Vegan Pad Thai+1,OK - SQUARE MEAL
R-37083,SQR|Vegetable Lasagna+1,OK - SQUARE MEAL
R-37084,SQR|Vegetable Lasagna+2,OK - SQUARE MEAL
R-28396,SQR|Vegetarian Lasagna 250g,OK - SQUARE MEAL
R-48321,BRNCH|Egg's Benny|Blackstone,OK - SQUARE MEAL
R-48357,BRNCH|Eggs Benny|Smk Salmon,OK - SQUARE MEAL
R-48359,BRNCH|Eggs Benny|Spin &Feta,OK - SQUARE MEAL
R-57279,SQR| Dirty Rice,OK - SQUARE MEAL
R-58406,SQR| Shitake Congee,OK - DIM SUM
R-61752,SQR|Cauliflower Po'Boy,OK - SQUARE MEAL
R-61753,SQR|Cauliflower Po'Boy +1,OK - SQUARE MEAL
R-61754,SQR|Cauliflower Po'Boy +2,OK - SQUARE MEAL
R-60515,SQR|Citrus Arugula Salad|Side,OK - SQUARE MEAL
R-57182,SQR|Fried Okra|SIDE,OK - SQUARE MEAL
R-60386,SQR|Kimchii Shrimp Congee,OK - DIM SUM
R-60388,SQR|Lemongrass Tofu Congee DS,OK - DIM SUM
R-55168,SQR|Pasta Bar Plant Based,OK - SQUARE MEAL
R-55166,SQR|Pasta Bar w Protien,OK - SQUARE MEAL
R-54456,SQR|Po'Boy Prawn,OK - SQUARE MEAL
R-58400,SQR|Po'Boy Prawn +1,OK - SQUARE MEAL
R-58401,SQR|Po'Boy Prawn +2,OK - SQUARE MEAL
R-57347,SQR|Thai Green Fish Curry,OK - SQUARE MEAL
R-57350,SQR|Thai Green Fish Curry+1,OK - SQUARE MEAL
R-57351,SQR|Thai Green Fish Curry+2,OK - SQUARE MEAL
R-49260,SQR|TOFU|Thai Green Curry,OK - SQUARE MEAL
R-49262,SQR|TOFU|Thai Green Curry+1,OK - SQUARE MEAL
R-49263,SQR|TOFU|Thai Green Curry+2,OK - SQUARE MEAL
R-43372,BURRITO|Bowl|Chicken,OK - SANDWICH KITCHEN
R-43375,BURRITO|Bowl|Pork,OK - SANDWICH KITCHEN
R-41795,BURRITO|Bowl|Veg,OK - SANDWICH KITCHEN
R-43366,BURRITO|Chicken,OK - SANDWICH KITCHEN
R-43367,BURRITO|Pork,OK - SANDWICH KITCHEN
R-33872,BURRITO|Veg,OK - SANDWICH KITCHEN
R-57239,FLX|Taco|oceanwise|COD,OK - FLEX KITCHEN
R-56711,FLX|Taco|Oceanwise|PRAWN,OK - FLEX KITCHEN
R-57237,FLX|Taco|Oceanwise|seaweed,OK - FLEX KITCHEN
R-44682,SAND|Add|Add Turkey,OK - SANDWICH KITCHEN
R-45838,SAND|Add|Bacon,OK - SANDWICH KITCHEN
R-44681,SAND|Add|Beef,OK - SANDWICH KITCHEN
R-44678,SAND|Add|Cheese,OK - SANDWICH KITCHEN
R-44679,SAND|Add|Falafel,OK - SANDWICH KITCHEN
R-44680,SAND|Add|Ham,OK - SANDWICH KITCHEN
R-43886,SAND|Falafel,OK - SANDWICH KITCHEN
R-43880,SAND|Ham,OK - SANDWICH KITCHEN
R-43885,SAND|Roast Beef,OK - SANDWICH KITCHEN
R-43884,SAND|Turkey,OK - SANDWICH KITCHEN
R-28374,SAND|Veg,OK - SANDWICH KITCHEN
R-60989,TRUCK|3 Bean Chili,OK - FOOD TRUCK(Food)
R-60552,TRUCK|BBQ Jackfruit|add on,OK - FOOD TRUCK(Food)
R-60554,TRUCK|BBQ Pulled Pork Sand,OK - FOOD TRUCK(Food)
R-44779,TRUCK|Chick Wings|W/O Gluten,OK - FOOD TRUCK(Food)
R-60979,TRUCK|Chips Salsa Queso|SIDE,OK - FOOD TRUCK(Food)
R-60549,TRUCK|Feature Fish Taco|2pc,OK - FOOD TRUCK(Food)
R-55819,TRUCK|Fish & Chips|2pc,OK - FOOD TRUCK(Food)
R-56513,TRUCK|Folded Chicken Bacon csr,OK - FOOD TRUCK(Food)
R-60569,TRUCK|GrilledCheese|Bacon Avo,OK - FOOD TRUCK(Food)
R-60558,TRUCK|Grl Cheese & Tom Soup|,OK - FOOD TRUCK(Food)
R-60550,TRUCK|Mac & Cheese,OK - FOOD TRUCK(Food)
R-61338,TRUCK|Philly Cheese Steak,OK - FOOD TRUCK(Food)
R-60551,TRUCK|Pulled Pork|add on,OK - FOOD TRUCK(Food)
R-44931,TRUCK|Salmon Burger & Fries,OK - FOOD TRUCK(Food)
R-35651,TRUCK|Tomato Soup,OK - FOOD TRUCK(Food)
R-56955,TRUCK|West Coast Chowder,OK - FOOD TRUCK(Food)
R-44319,FLX|Side Quinoa Tabouleh Salad,OK - GLOBAL KITCHEN
R-54174,GLB|Beef Rendang,OK - GLOBAL KITCHEN
R-36078,GLB|Beef Vindaloo,OK - GLOBAL KITCHEN
R-35896,GLB|Bowl|Havana,OK - GLOBAL KITCHEN
R-59582,GLB|Bowl|Havana|Tofu,OK - GLOBAL KITCHEN
R-35900,GLB|Bowl|Latino,OK - GLOBAL KITCHEN
R-56895,GLB|Brussel Sprout Pasta,OK - GLOBAL KITCHEN
R-32750,GLB|Chicken Adobo,OK - GLOBAL KITCHEN
R-29391,GLB|Chicken Kung Pao,OK - GLOBAL KITCHEN
R-56827,GLB|Chickpea Vindaloo,OK - GLOBAL KITCHEN
R-45419,GLB|Dan Dan Noodle|Pork,OK - GLOBAL KITCHEN
R-44866,GLB|Dan Dan Noodle|Tofu,OK - GLOBAL KITCHEN
R-44362,GLB|Fried Cauliflower Bowl,OK - GLOBAL KITCHEN
R-56835,GLB|Ginger Beef,OK - GLOBAL KITCHEN
R-56993,GLB|Jambalaya,OK - GLOBAL KITCHEN
R-45426,GLB|Massaman Curry|Beef,OK - GLOBAL KITCHEN
R-50007,GLB|Pasta|Beef Stroganoff,OK - GLOBAL KITCHEN
R-50501,GLB|Pasta|WestCoastSpaghetti,OK - GLOBAL KITCHEN
R-56893,GLB|Short Rib Pappardelle,OK - GLOBAL KITCHEN
R-37093,GLB|Spaghetti & Meatballs,OK - GLOBAL KITCHEN
R-51195,GLB|Sweet & Sour Pork,OK - GLOBAL KITCHEN
R-33532,GLB|Sweet Chili Chicken,OK - GLOBAL KITCHEN
R-50700,GLB|Teriyaki Tofu Bowl,OK - GLOBAL KITCHEN
R-61691,GLB|Tofu Jambalaya,OK - GLOBAL KITCHEN
R-27275,VEG|Bowl|Black Bean Breakfast,OK - VEGETARIAN KITCHEN
R-43738,VEG|BOWL|Dobanjiang Noodle,OK - VEGETARIAN KITCHEN
R-36666,VEG|Bowl|Five Alarm,OK- VEGETARIAN KITCHEN FEATURE
R-35341,VEG|Bowl|Polenta,OK - SIDES
R-61110,VEG|Bowl|Spicy Tofu,OK- VEGETARIAN KITCHEN FEATURE
R-55116,VEG|Breakfast Chilaquiles,OK - VEGETARIAN KITCHEN
R-53342,VEG|Falafel Bowl,OK - VEGETARIAN KITCHEN
R-56637,VEG|French Toast|Eggnog,OK - SIDES
R-56451,VEG|FrenchToast|Corn Flake,OK - GRILL KITCHEN BREAKFAST
R-50526,VEG|FrenchToast|PeachCompote,OK- VEGETARIAN KITCHEN FEATURE
R-48488,VEG|Huevos Rancheros,OK - VEGETARIAN KITCHEN
R-48632,VEG|HuevosRancheros|2 serv,OK - VEGETARIAN KITCHEN
R-55117,VEG|Oats|BananaAlmond Overnite,OK - VEGETARIAN KITCHEN
R-56966,VEG|Oats|Steel Cut|Maple Apple,OK - VEGETARIAN KITCHEN
R-57345,VEG|Oats|Steel Cut|Spicd Pmpkn,OK - VEGETARIAN KITCHEN
R-56959,VEG|Oats|Steel Cut|Strawberry,OK - VEGETARIAN KITCHEN
R-56697,VEG|Omelet|Asparagus,OK - VEGETARIAN KITCHEN
R-56696,VEG|Omelet|Mushroom Pesto,OK - VEGETARIAN KITCHEN
R-50555,VEG|Omelet|Spinach Goat Cheese,OK - VEGETARIAN KITCHEN
R-56509,VEG|Quesadilla|Breakfast,OK - VEGETARIAN KITCHEN
R-61733,VEG|Quiche|Asparagus,OK - VEGETARIAN KITCHEN
R-61732,VEG|Quiche|Leek & Ricotta,OK - VEGETARIAN KITCHEN
R-56688,VEG|Shakshuka,OK - VEGETARIAN KITCHEN
R-27273,VEG|Toast|OK Avocado,OK - VEGETARIAN KITCHEN
