ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-6017,0.14285714,1.0000,slice,7.0000,g
I-6017,0.01538462,1.0000,piece,65.0000,g
I-6443,0.03246753,1.0000,fl oz,30.8000,g
I-6443,0.00406504,1.0000,cup,246.0000,g
I-6791,0.00411523,1.0000,cup,243.0000,g
I-8060,0.07042254,1.0000,Tbsp,14.2000,g
I-8060,0.00440529,1.0000,cup,227.0000,g
I-10775,112.00000000,112.0000,g,1.0000,CT
I-14181,0.07142857,1.0000,slice,14.0000,g
I-17615,1.00000000,1.0000,CT,1.0000,slice
I-17617,1.00000000,1.0000,slice,1.0000,CT
I-17618,0.07142857,1.0000,slice,14.0000,g
I-19283,0.00210526,1.0000,bag,475.0000,g
I-26667,0.03527337,1.0000,oz,28.3500,g
I-26667,0.00588235,1.0000,ea,170.0000,g
I-26667,0.00220459,1.0000,lb,453.6000,g
I-65951,0.00661800,1.0000,each,151.1030,g
I-1197,0.01333333,1.0000,CT,75.0000,g
I-2217,0.06666667,1.0000,Tbsp,15.0000,g
I-2217,0.03355705,1.0000,fl oz,29.8000,g
I-2306,0.02000000,1.0000,Kg,50.0000,slice
I-3145,0.00416667,1.0000,cup,240.0000,g
I-3145,0.00226244,1.0000,can,442.0000,g
I-3146,0.00413223,1.0000,cup,242.0000,g
I-3146,0.00225225,1.0000,can,444.0000,g
I-3223,0.06666667,1.0000,Tbsp,15.0000,g
I-3223,0.00442478,1.0000,cup,226.0000,g
I-3284,0.23809524,1.0000,tsp,4.2000,g
I-3284,0.07692308,1.0000,Tbsp,13.0000,g
I-3284,0.00480769,1.0000,cup,208.0000,g
I-3365,0.00401606,1.0000,cup,249.0000,g
I-3365,0.00100402,1.0000,L,996.0000,g
I-3497,0.00342466,1.0000,cup,292.0000,g
I-3621,1.42857143,1.0000,tsp,0.7000,g
I-3657,0.21739130,1.0000,tsp,4.6000,g
I-3657,0.00454545,1.0000,cup,220.0000,g
I-3670,0.05000000,1.0000,Tbsp,20.0000,g
I-3670,0.00317460,1.0000,cup,315.0000,g
I-3671,0.05000000,1.0000,Tbsp,20.0000,g
I-3671,0.00318471,1.0000,cup,314.0000,g
I-4271,0.00549451,1.0000,CT,182.0000,g
I-4507,0.18018018,1.0000,Kg,5.5500,piece
I-4507,0.00847458,1.0000,ea,118.0000,g
I-4698,0.00400000,1.0000,CT,250.0000,g
I-4699,0.00500000,1.0000,BUNCH,200.0000,g
I-4764,0.00763359,1.0000,CT,131.0000,g
I-6832,0.00909091,1.0000,cup,110.0000,g
I-20348,0.23809524,1.0000,tsp,4.2000,g
I-20348,0.07692308,1.0000,Tbsp,13.0000,g
I-20348,0.00480769,1.0000,cup,208.0000,g
I-23336,0.00381679,1.0000,cup,262.0000,g
I-27407,0.01333333,1.0000,ea,75.0000,g
I-1814,0.03278689,1.0000,fl oz,30.5000,g
I-1814,0.00409836,1.0000,cup,244.0000,g
I-2220,0.03278689,1.0000,fl oz,30.5000,g
I-2220,0.00409836,1.0000,cup,244.0000,g
I-2220,0.00102459,1.0000,qt,976.0000,g
I-3143,0.35211268,1.0000,LG CAN,2.8400,L
I-3143,1.40594059,2.8400,L,2.0200,Kg
I-3389,0.22222222,1.0000,tsp,4.5000,g
I-3389,0.07407407,1.0000,Tbsp,13.5000,g
I-3389,0.00462963,1.0000,cup,216.0000,g
I-3391,0.22222222,1.0000,tsp,4.5000,g
I-3391,0.07352941,1.0000,Tbsp,13.6000,g
I-3391,0.00458716,1.0000,cup,218.0000,g
I-3435,0.00381679,0.5000,cup,131.0000,g
I-3435,0.00101284,2.8400,L,2804.0000,g
I-3580,0.14792899,1.0000,cup,6.7600,oz
I-3589,0.11111111,1.0000,Tbsp,9.0000,g
I-3589,0.00694444,1.0000,cup,144.0000,g
I-3591,0.11111111,1.0000,Tbsp,9.0000,g
I-3591,0.00694444,1.0000,cup,144.0000,g
I-3629,0.55555556,1.0000,tsp,1.8000,g
I-3629,0.20000000,1.0000,Tbsp,5.0000,g
I-3631,0.50000000,1.0000,tsp,2.0000,g
I-3631,0.15873016,1.0000,Tbsp,6.3000,g
I-3635,0.83333333,1.0000,tsp,1.2000,g
I-3635,0.30303030,1.0000,Tbsp,3.3000,g
I-3636,1.66666667,1.0000,tsp,0.6000,g
I-3636,0.58823529,1.0000,Tbsp,1.7000,g
I-3637,0.50000000,1.0000,tsp,2.0000,g
I-3637,0.15873016,1.0000,Tbsp,6.3000,g
I-3640,0.43478261,1.0000,tsp,2.3000,g
I-3640,0.14705882,1.0000,Tbsp,6.8000,g
I-3654,0.45454545,1.0000,tsp,2.2000,g
I-3654,0.14705882,1.0000,Tbsp,6.8000,g
I-3676,0.35211268,1.0000,LG CAN,2.8400,L
I-3679,0.06666667,1.0000,Tbsp,15.0000,g
I-3679,0.00526316,1.0000,can,190.0000,g
I-3679,0.00416667,1.0000,cup,240.0000,g
I-3681,0.00400000,1.0000,cup,250.0000,g
I-3898,0.01851852,1.0000,Kg,54.0000,ea
I-4473,0.00735294,1.0000,HEAD,136.0000,g
I-4574,0.00909091,1.0000,cup,110.0000,g
I-4635,0.00862069,1.0000,cup,116.0000,g
I-4640,0.00182482,1.0000,CT,548.0000,g
I-4712,0.01492537,1.0000,CT,67.0000,g
I-4826,0.00250000,1.0000,BUNCH,400.0000,g
I-6006,0.22222222,1.0000,tsp,4.5000,g
I-6006,0.07407407,1.0000,Tbsp,13.5000,g
I-6006,0.00462963,1.0000,cup,216.0000,g
I-6812,0.00909091,1.0000,cup,110.0000,g
P-6888,2.84000000,2.8400,L,1.0000,LG CAN
I-17205,0.16666667,1.0000,BASKET,6.0000,oz
I-17205,0.00694444,1.0000,cup,144.0000,g
I-45114,0.03333333,0.5000,fl oz,15.0000,g
I-2251,0.03278689,1.0000,fl oz,30.5000,g
I-2251,0.00409836,1.0000,cup,244.0000,g
I-2251,0.00102459,1.0000,qt,976.0000,g
I-3224,0.06666667,1.0000,Tbsp,15.0000,g
I-3224,0.00442478,1.0000,cup,226.0000,g
I-3390,0.22222222,1.0000,tsp,4.5000,g
I-3390,0.07407407,1.0000,Tbsp,13.5000,g
I-3390,0.00462963,1.0000,cup,216.0000,g
I-3458,0.00093897,1.0000,L,1065.0000,g
I-3468,0.00408163,1.0000,cup,245.0000,g
I-3563,0.21276596,1.0000,tsp,4.7000,g
I-3620,0.17241379,1.0000,Tbsp,5.8000,g
I-3628,0.47619048,1.0000,tsp,2.1000,g
I-3628,0.15384615,1.0000,Tbsp,6.5000,g
I-3678,0.06666667,1.0000,Tbsp,15.0000,g
I-3678,0.00526316,1.0000,can,190.0000,g
I-3678,0.00416667,1.0000,cup,240.0000,g
I-3853,0.00588235,1.0000,CT,170.0000,g
I-3853,0.03529412,3.0000,oz,85.0000,g
I-4255,0.00549451,1.0000,CT,182.0000,g
I-4458,0.00591716,1.0000,CT,169.0000,g
I-4582,0.10000000,1.0000,CT,10.0000,g
I-4915,0.02777778,1.0000,cup,36.0000,g
I-4915,0.02083333,1.0000,leaf,48.0000,g
I-4915,0.00222222,1.0000,HEAD,450.0000,g
I-5977,0.38461538,1.0000,tsp,2.6000,g
I-5977,0.14285714,1.0000,piece,7.0000,g
I-5977,0.12820513,1.0000,Tbsp,7.8000,g
I-6924,0.00427350,1.0000,HEAD,234.0000,g
I-7978,2.63157895,1.0000,lb,0.3800,L
I-7978,0.54347826,1.0000,XXX,1.8400,L
I-16497,0.00469484,1.0000,CT,213.0000,g
I-19737,0.00103306,1.0000,L,968.0000,g
I-22443,0.00381679,1.0000,L,262.0000,g
I-31126,0.02000000,1.0000,500UN,50.0000,g
I-31126,0.02000000,1.0000,ea,50.0000,g
I-1821,0.03194888,1.0000,fl oz,31.3000,g
I-1821,0.00400000,1.0000,cup,250.0000,g
I-2174,0.00411523,1.0000,cup,243.0000,g
I-3080,0.00220264,1.0000,lb,454.0000,ml
I-3225,0.06666667,1.0000,Tbsp,15.0000,g
I-3225,0.00442478,1.0000,cup,226.0000,g
I-3572,0.05882353,1.0000,Tbsp,17.0000,g
I-3572,0.00363636,1.0000,cup,275.0000,g
I-4461,0.00549451,1.0000,CT,182.0000,g
I-4557,0.04347826,1.0000,leaf,23.0000,g
I-4557,0.00088183,1.0000,CT,1134.0000,g
I-4823,0.12500000,1.0000,leaf,8.0000,g
I-4823,0.00500000,1.0000,HEAD,200.0000,g
I-6777,0.00159744,1.0000,CT,626.0000,g
I-8058,0.00408163,1.0000,cup,245.0000,g
I-11664,0.03448276,1.0000,LOAF,29.0000,slice
I-13253,0.00598802,1.0000,ea,167.0000,g
I-13253,0.00549451,1.0000,CT,182.0000,g
I-18803,2.15517241,250.0000,ml,116.0000,g
I-3494,0.06250000,1.0000,Tbsp,16.0000,g
I-3494,0.00386100,1.0000,cup,259.0000,g
I-3494,0.00100000,1.0000,L,1000.0000,g
I-4599,0.13333333,1.0000,Tbsp,7.5000,g
I-4599,0.00100000,1.0000,HEAD,1000.0000,g
I-22026,0.21276596,1.0000,tsp,4.7000,g
I-22026,0.00106383,1.0000,L,940.0000,g
I-40609,0.02500000,1.0000,CT,40.0000,g
