IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-50772,50.000,ml,0.00100000,1.0000,R-62126
P-50776,1.000,CT,1.00000000,1.0000,R-62127
P-8193,35.000,ml,0.00100000,1.0000,R-62127
P-44781,15.000,ml,0.00100000,1.0000,R-62132
P-46637,30.000,g,0.00100000,1.0000,R-62132
P-50717,30.000,g,0.00100000,1.0000,R-62132
P-50749,37.000,g,0.00100000,1.0000,R-62132
P-50776,1.000,CT,1.00000000,1.0000,R-62132
P-7078,37.000,g,0.00100000,1.0000,R-62132
P-8193,35.000,ml,0.00100000,1.0000,R-62132
P-44781,15.000,ml,0.00100000,1.0000,R-62133
P-46637,120.000,g,0.00100000,1.0000,R-62133
P-50717,120.000,g,0.00100000,1.0000,R-62133
P-50749,150.000,g,0.00100000,1.0000,R-62133
P-50776,1.000,CT,1.00000000,1.0000,R-62133
P-7078,150.000,g,0.00100000,1.0000,R-62133
P-8193,35.000,ml,0.00100000,1.0000,R-62133
P-44781,15.000,ml,0.00100000,1.0000,R-62134
P-46637,60.000,g,0.00100000,1.0000,R-62134
P-50717,60.000,g,0.00100000,1.0000,R-62134
P-50749,75.000,g,0.00100000,1.0000,R-62134
P-50776,1.000,CT,1.00000000,1.0000,R-62134
P-7078,75.000,g,0.00100000,1.0000,R-62134
P-8193,35.000,ml,0.00100000,1.0000,R-62134
P-44781,15.000,ml,0.00100000,1.0000,R-62135
P-46637,90.000,g,0.00100000,1.0000,R-62135
P-50717,90.000,g,0.00100000,1.0000,R-62135
P-50749,112.000,g,0.00100000,1.0000,R-62135
P-50776,1.000,CT,1.00000000,1.0000,R-62135
P-7078,112.000,g,0.00100000,1.0000,R-62135
P-8193,35.000,ml,0.00100000,1.0000,R-62135
P-53319,150.000,g,1.00000000,1.0000,R-62140
P-50500,2.000,g,1.00000000,1.0000,R-62144
P-50938,50.000,ml,0.00100000,1.0000,R-62144
P-62143,220.000,g,0.00100000,1.0000,R-62144
P-47361,20.000,ml,0.00100000,1.0000,R-62149
P-62148,100.000,g,0.00100000,1.0000,R-62149
P-7336,30.000,g,1.00000000,1.0000,R-62149
P-45124,120.000,g,0.00100000,1.0000,R-62150
P-47361,20.000,ml,0.00100000,1.0000,R-62150
P-49591,90.000,g,0.00100000,1.0000,R-62150
P-61984,120.000,g,0.00100000,1.0000,R-62150
P-62148,100.000,g,0.00100000,1.0000,R-62150
P-7336,30.000,g,1.00000000,1.0000,R-62150
P-45124,80.000,g,0.00100000,1.0000,R-62151
P-47361,20.000,ml,0.00100000,1.0000,R-62151
P-49591,90.000,g,0.00100000,1.0000,R-62151
P-61984,80.000,g,0.00100000,1.0000,R-62151
P-62148,100.000,g,0.00100000,1.0000,R-62151
P-7336,30.000,g,1.00000000,1.0000,R-62151
P-45124,40.000,g,0.00100000,1.0000,R-62152
P-47361,20.000,ml,0.00100000,1.0000,R-62152
P-49591,30.000,g,0.00100000,1.0000,R-62152
P-61984,40.000,g,0.00100000,1.0000,R-62152
P-62148,100.000,g,0.00100000,1.0000,R-62152
P-7336,30.000,g,1.00000000,1.0000,R-62152
P-44331,120.000,g,0.00100000,1.0000,R-62172
P-50749,150.000,g,0.00100000,1.0000,R-62172
P-50868,150.000,g,0.00100000,1.0000,R-62172
P-50876,140.000,g,0.00100000,1.0000,R-62172
P-56942,120.000,g,0.00100000,1.0000,R-62172
P-9519,50.000,ml,0.00100000,1.0000,R-62172
P-44331,90.000,g,0.00100000,1.0000,R-62173
P-50749,112.000,g,0.00100000,1.0000,R-62173
P-50868,112.000,g,0.00100000,1.0000,R-62173
P-50876,140.000,g,0.00100000,1.0000,R-62173
P-56942,90.000,g,0.00100000,1.0000,R-62173
P-9519,50.000,ml,0.00100000,1.0000,R-62173
P-44331,60.000,g,0.00100000,1.0000,R-62174
P-50749,75.000,g,0.00100000,1.0000,R-62174
P-50868,75.000,g,0.00100000,1.0000,R-62174
P-50876,140.000,g,0.00100000,1.0000,R-62174
P-56942,60.000,g,0.00100000,1.0000,R-62174
P-9519,50.000,ml,0.00100000,1.0000,R-62174
P-44331,30.000,g,0.00100000,1.0000,R-62175
P-50749,37.000,g,0.00100000,1.0000,R-62175
P-50868,37.000,g,0.00100000,1.0000,R-62175
P-50876,140.000,g,0.00100000,1.0000,R-62175
P-56942,30.000,g,0.00100000,1.0000,R-62175
P-9519,50.000,ml,0.00100000,1.0000,R-62175
P-37778,23.300,g,0.00100000,1.0000,R-62193
P-44817,13.300,g,0.00100000,1.0000,R-62193
P-44894,13.300,g,1.00000000,1.0000,R-62193
P-45118,13.300,g,0.00100000,1.0000,R-62193
P-50290,13.300,g,0.00100000,1.0000,R-62193
P-50295,13.300,g,1.00000000,1.0000,R-62193
P-50617,3.300,g,0.00100000,1.0000,R-62193
P-50712,23.300,g,0.00100000,1.0000,R-62193
P-50721,13.300,g,0.00100000,1.0000,R-62193
P-50757,13.300,g,0.00100000,1.0000,R-62193
P-50758,13.300,g,0.00100000,1.0000,R-62193
P-50759,13.300,g,0.00100000,1.0000,R-62193
P-50761,13.300,g,0.00100000,1.0000,R-62193
P-50879,3.300,g,0.00100000,1.0000,R-62193
P-50884,13.300,g,0.00100000,1.0000,R-62193
P-50886,13.300,g,0.00100000,1.0000,R-62193
P-50892,3.300,g,0.00100000,1.0000,R-62193
P-9856,23.300,g,0.00100000,1.0000,R-62193
P-44781,26.000,ml,0.00100000,1.0000,R-62209
P-48877,125.000,g,0.00100000,1.0000,R-62209
P-50939,25.000,ml,0.00100000,1.0000,R-62209
P-41053,35.000,ml,0.00100000,1.0000,R-62288
P-50389,150.000,g,0.00100000,1.0000,R-62288
P-44781,10.000,ml,0.00100000,1.0000,R-62302
P-47361,3.000,ml,0.00100000,1.0000,R-62302
P-50613,3.000,g,0.00100000,1.0000,R-62302
P-50621,3.000,g,1.00000000,1.0000,R-62302
P-50772,5.000,ml,0.00100000,1.0000,R-62302
P-50907,3.000,ml,1.00000000,1.0000,R-62302
P-50938,5.000,ml,0.00100000,1.0000,R-62302
P-50939,7.000,ml,0.00100000,1.0000,R-62302
P-55100,3.000,ml,0.00100000,1.0000,R-62302
P-62108,3.000,ml,0.00100000,1.0000,R-62302
P-9519,5.000,ml,0.00100000,1.0000,R-62302
R-57244,0.400,ea,1.00000000,1.0000,R-62303
R-62193,0.400,ea,1.00000000,1.0000,R-62303
