Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
Caliente , Quinoa Tortilla Soup,R-35269,CAL|SOUP|Quinoa Tortilla|350ml,FOOD,545,444.1092156,3.154146351,1.219735318,85.81,2726.38,81.49,0.58,15.74,500.25,0.22,Green,Green,,,TRUE
Caliente , Pork Belly Tortilla Soup,R-65938,CAL|Soup|Tortilla + pork belly,GV - CALIENTE,460,812.9743657,9.356704596,2.03916875,146.01,4430.98,176.73,2.03,31.74,963.26,0.44,Green,Yellow,,TRUE,
Caliente , Chicken Tortilla Soup,R-44511,CAL|Soup|Tortilla Chicken|350,GV - CALIENTE,418,886.775168,16.38995004,2.535348062,95.82,1963.01,212.15,3.92,22.92,469.62,0.61,Yellow,Yellow,,TRUE,
Caliente , Veggie Tortilla Soup,R-64102,CAL|Soup|Tortilla veggie|AAD,GV - CALIENTE,408,372.1497611,3.043346747,1.177035993,52.36,1831.8,91.21,0.75,12.83,448.97,0.29,Green,Green,,,TRUE
Caliente , Black bean & hominy taco,R-68789,CAL|taco|Bean& Hominy(1)|AAD,GV - CALIENTE,357,580.9121137,4.527152062,2.201213124,105.3,3228.43,162.72,1.27,29.5,904.32,0.62,Green,Yellow,,TRUE,
Caliente , Cauliflower taco,R-62017,CAL|Taco|Cauliflower(1)AAD,GV - CALIENTE,339,500.4203153,4.746886741,1.576635154,117.67,3713.82,147.62,1.4,34.71,1095.52,0.47,Green,Yellow,,TRUE,
Caliente , Chorizo taco,R-50528,CAL|Taco|Chorizo|SP|AAD,GV - CALIENTE FEATURE,431.08184,2489.698166,32.24922838,5.700849819,489.88,14756.08,577.55,7.48,113.64,3423.03,1.32,Red,Red,TRUE,,
Caliente , Crispy chicken taco,R-64940,CAL|Taco|crispy Chicken(1)|AAD,GV - CALIENTE,189,451.6542603,7.784066225,1.233617025,69.76,1611.46,238.97,4.12,36.91,852.62,0.65,Yellow,Yellow,,TRUE,
Caliente , Cod taco,R-35879,CAL|Taco|ocean wise|Cod(1)|AAD,GV - CALIENTE,380,832.1555335,8.6112111,1.965966762,211.66,4680.2,218.99,2.27,55.7,1231.63,0.52,Yellow,Yellow,,TRUE,
Caliente , Prawn taco,R-56711,CAL|Taco|Oceanwise|Prawn(1),GV - CALIENTE,353,880.9612934,5.572545979,1.4098436,130.05,4257.83,249.56,1.58,36.84,1206.18,0.4,Yellow,Yellow,,TRUE,
