ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-41803,0.09090909090909091,1.0,ea,11.0,g
I-63867,0.004405286343612335,1.0,each,227.0,g
I-41805,0.07142857142857142,1.0,each,14.0,g
I-53017,0.00130718954248366,1.0,pak,765.0,g
I-41800,0.09090909090909091,1.0,ea,11.0,g
I-41807,0.09090909090909091,1.0,ea,11.0,g
I-54075,0.0058823529411764705,1.0,each,170.0,g
I-34860,0.03333333333333333,1.0,ea,30.0,g
I-34863,0.03333333333333333,1.0,ea,30.0,g
I-17679,0.008130081300813009,1.25,ea,153.75,g
I-17678,0.029411764705882353,1.25,ea,42.5,g
I-54077,0.0058823529411764705,1.0,each,170.0,g
I-42899,0.0016666666666666668,1.0,ea,600.0,g
I-42797,0.00847457627118644,1.0,BAR,118.0,ml
I-65520,0.014285714285714285,1.0,each,70.0,ml
I-65519,0.014285714285714285,1.0,each,70.0,ml
I-42798,0.016666666666666666,1.0,BAR,60.0,ml
I-16171,0.009009009009009009,1.0,BAR,111.0,ml
I-14934,0.009009009009009009,1.0,BAR,111.0,ml
I-48147,0.014285714285714285,1.0,ea,70.0,ml
I-3821,0.015384615384615385,1.0,BAR,65.0,ml
I-65518,0.014285714285714285,1.0,each,70.0,ml
I-3828,0.014285714285714285,1.0,BAR,70.0,ml
I-53014,0.004219409282700422,1.0,ea,237.0,g
I-21707,0.009009009009009009,1.0,BAR,111.0,ml
I-49669,0.01,1.0,BAR,100.0,ml
I-34479,0.011764705882352941,1.0,BAR,85.0,ml
I-3825,0.011764705882352941,1.0,BAR,85.0,ml
I-3834,0.01,1.0,BAR,100.0,ml
I-14932,0.01,1.0,BAR,100.0,ml
I-61562,0.01,1.0,BAR,100.0,ml
I-34478,0.01,1.0,BAR,100.0,ml
I-25211,0.01,1.0,BAR,100.0,ml
I-3823,0.009009009009009009,1.0,BAR,111.0,ml
I-3830,0.01,1.0,BAR,100.0,ml
I-67659,0.00881849768073511,1.0,each,113.398,g
I-28697,0.0051813471502590676,1.0,ea,193.0,g
I-47441,0.0051813471502590676,1.0,ea,193.0,g
I-1905,0.0125,1.0,CT,80.0,g
I-47440,0.005050505050505051,1.0,ea,198.0,g
I-13327,0.003076923076923077,0.75,pak,243.75,g
I-54484,0.004545454545454545,1.0,each,220.0,ml
I-2501,0.00909090909090909,0.25,pak,27.5,g
I-52609,0.004219409282700422,1.0,ea,237.0,ml
I-52636,0.004219409282700422,1.0,ea,237.0,ml
I-2772,0.0035714285714285713,1.0,CT,280.0,g
I-20347,0.004,0.8,PTN,200.0,g
I-54756,0.007054773259587437,1.0,each,141.748,g
I-41251,0.005050505050505051,1.0,ea,198.0,g
I-2833,0.004,0.1,CT,25.0,ml
I-54761,0.017543859649122806,1.0,each,57.0,g
I-54755,0.017543859649122806,1.0,each,57.0,g
I-54759,0.017543859649122806,1.0,each,57.0,g
