ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-2436,,VINEGAR APPLE CIDER PURE,500.0,ml,24.0,ml,Y
I-3804,,SPICE CHILI RED PEPPER CRUSHED,12.0,g,24.0,g,Y
I-4198,,ITALIAN PARSLEY,625.0,g,24.0,lb,Y
I-5283,,SALT COARSE KOSHER,444.0,g,24.0,g,Y
I-5899,,"Bag - Vacuum Seal 12""x14"" ",24.0,ea,24.0,ea,Y
I-13711,,GARLIC MINCED,192.0,g,24.0,g,Y
I-13733,,EDAMAME SHELLED 2KG,12.0,Kg,24.0,g,Y
I-2640,,Water - Tap,250.0,ml,2.5,ml,N
I-2958,,Ginger Fresh,1.0,Kg,2.5,oz,N
I-1783,,CREAM WHIPPING 33%,6.0,L,110.0,ml,Y
I-1927,,JALAPENO PEPPER - FRESH,1.0,Kg,110.0,g,Y
I-2066,,ONION RED JUMBO ,3.25,Kg,110.0,oz,Y
I-2117,,Peppers Red,2.0,Kg,110.0,oz,Y
I-2324,,SPICE CHILI POWDER ,80.0,g,110.0,g,Y
I-2339,,SPICE PAPRIKA ,500.0,g,110.0,g,Y
I-2367,,SUGAR GRANULATED FINE,1.16,g,110.0,g,Y
I-2464,,TOMATO - WHOLE PLUM ,35.0,L,110.0,fl oz,Y
I-5428,,SO - SPICE CARDAMON GREEN WHL,80.0,g,110.0,oz,Y
I-5803,,Garam Masala,310.0,g,110.0,g,Y
I-7648,,Butter Unsalted 1 lb,2.0,Kg,110.0,oz,Y
I-11651,,Tomatoes 5 x 6 Bulk,24.0,Kg,110.0,oz,Y
I-13718,,KASOORI METHI,60.0,g,110.0,g,Y
I-1894,,ONIONS GREEN ,300.0,g,18.0,oz,Y
I-2116,,PEPPERS-GREEN MED,1.5,Kg,18.0,oz,Y
I-2167,,QUINOA,4.0,Kg,18.0,oz,Y
I-2442,,VINEGAR RICE SEAS GOURM,375.0,ml,18.0,ml,Y
I-5106,,PEPPERS - YELLOW,1.5,Kg,18.0,oz,Y
I-14979,,QUINOA tri colour ,4.0,Kg,18.0,g,Y
I-1635,,BUTTERMILK 3.25%,2000.0,ml,20.0,ml,Y
I-4091,,SALT KOSHER COARSE,15.0,g,20.0,g,Y
I-14882,,CHICKEN TENDER 20kg,20.0,Kg,20.0,g,Y
I-2328,,SPICE CLOVES GROUND ,5.0,g,100.0,g,N
I-2335,,SPICE GINGER GROUND SHAKER ,10.0,g,100.0,g,N
I-2337,,SPICE NUTMEG GROUND SHAKER ,0.4,fl oz,100.0,fl oz,N
I-5796,,Syrup-Maple Jug Medium #1,150.0,ml,100.0,ml,N
I-12752,,PECANS-Lrge Fancy,100.0,g,100.0,g,N
I-2203,,SALSA MED THICK AND CHUNKY,4.0,fl oz,250.0,ml,N
I-4014,,"Tortilla Corn 6""",16.0,ea,250.0,ea,N
I-10955,,Cheese 3 Blend Shred ,160.0,g,250.0,g,N
I-14532,,Black Olives sliced,40.0,g,250.0,g,N
I-16221,,2022 pickled jalapeno,40.0,g,250.0,g,N
I-16572,,2022 Pickle onion,20.0,g,250.0,g,N
I-1637,,CABBAGE GREEN,2.0,oz,1.0,oz,N
I-1892,,CABBAGE RED ,2.0,oz,1.0,oz,N
I-6243,,2019 Chipotle Aioli,4.0,fl oz,1.0,L,N
I-7647,,"Tortilla Flour 6""",2.0,ea,1.0,ea,N
I-10942,,Cod Port 1.7Z Btd Taco Cut,2.0,ea,1.0,ea,N
I-13719,,2019 misc exp ,1.0,ea,1.0,ea,N
I-17039,,2022 Grilled Peach Salsa2,30.0,g,1.0,g,N
I-17040,,2022 Pickled Onion2,20.0,g,1.0,Kg,N
I-9013,,NEW FISH BATTER MIX,200.0,g,1.0,Kg,N
I-9665,,COD GREY LOIN 3OZ IQF OW,1.0,ea,1.0,ea,N
I-10510,,Hoyne - Dark Matter 50L,0.2,fl oz,1.0,fl oz,N
I-2087,,PARSLEY ,0.2,BUNCH,1.0,BUNCH,N
I-2209,,SALT TABLE IODIZED,3.0,g,1.0,g,N
I-13414,,linguini,1.0,PORT,1.0,PORT,N
I-17486,,2022 Blackened Chicken,1.0,PORT,1.0,PORT,N
I-10387,,Paste Tamarind Conc 380g,17.5,g,8.0,g,N
