ItemId,Description,Qty,UOM,PrepId
I-43,CHEESE PARMESAN PU R           ,5.000,g,P-8
I-44, MUSHROOM            ,20.000,lb,P-9
I-45," MUSHROOM ""PORTABEL L          ",5.000,lb,P-9
I-46, Mushroom Cremini           ,5.000,lb,P-9
I-47, Mushrooms Oyster           ,5.000,lb,P-9
I-48,SALT COARSE KOSHER            ,150.000,g,P-9
I-49,Black Pepper Fine            ,30.000,g,P-9
I-51,THYME              ,50.000,g,P-9
I-52, MUSHROOMS WHT SLCD          ,10.000,lb,P-9
I-53, GARLIC WHOLE PEELED          ,5.000,lb,P-10
I-54,Kg Kg PFO OIL CANOLA JIB  AN T      ,4.000,Kg,P-10
I-55,POTATO RUSSET BAKER            ,3250.000,g,P-11
I-56,PFO OIL CANOLA JIB  AN T        ,60.000,g,P-11
I-57,SPICE CUMIN SEED WH O          ,10.000,g,P-11
I-58,ONION RED JUMBO            ,175.000,g,P-11
I-59,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,P-11
I-60,Garam Masala             ,5.000,g,P-11
I-61,Chaat Masala             ,17.000,g,P-11
I-62,SALT COARSE KOSHER            ,30.000,g,P-11
I-63,Chana (Chickpea) Flour            ,190.000,g,P-11
I-64,Gochujang Hot Pepper Pas t          ,300.000,g,P-12
I-65,ITEM SOUR CREAM ALF R          ,3000.000,g,P-12
I-66, Misc Exp           ,4.000,ea,P-12
I-67,PASTA FARFALLE BOWTI E           ,2000.000,g,P-13
I-68, Olive Oil Extra virgin         ,30.000,ml,P-13
I-69,Kg Kg Boiling Water           ,5.000,Kg,P-13
I-70,SALT KOSHER COARSE            ,100.000,g,P-13
I-71,BEAN GARBANZO CHICK            ,2.840,L,P-14
I-72, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-14
I-74,GARLIC WHOLE PEELED            ,450.000,g,P-15
I-75, KETCHUP VOL PAK          ,750.000,ml,P-15
I-76,Spice Paprika Shk 540g           ,150.000,g,P-15
I-77, SYRUP CORN GOLDEN          ,2000.000,ml,P-15
I-78,Ginger Fresh             ,100.000,g,P-15
I-79,SPICE CHILI RED PEPPE R          ,50.000,g,P-15
I-80,Brown Sugar 1KG Bags           ,300.000,g,P-15
I-81,Gochujang Hot Pepper Pas t          ,600.000,g,P-15
I-82, Soy Sauce Tamari G/F Yam        ,350.000,ml,P-15
I-83,SPICE SUMAC ground            ,30.000,g,P-16
I-84, Olive Oil Extra virgin         ,400.000,ml,P-16
I-85,SALT COARSE KOSHER            ,10.000,g,P-16
I-86,GARLIC WHOLE PEELED            ,30.000,g,P-16
I-87,Juice - Lemon Fresh Sque e         ,100.000,g,P-16
I-89,Sabutdana              ,15.000,g,P-17
I-90,PEPPER GREEN 5LB            ,200.000,g,P-18
I-91,PEPPER RED 5LB BAG           ,200.000,g,P-18
I-92,PEPPERS YELLOW 5LB            ,200.000,g,P-18
I-93,ONION RED JUMBO            ,200.000,g,P-18
I-94, EGGPLANT            ,0.100,ea,P-18
I-95, Olive Oil Extra virgin         ,100.000,ml,P-18
I-96,SALT COARSE KOSHER            ,30.000,g,P-18
I-97,Black Pepper Fine            ,10.000,g,P-18
I-98,Flour - Fried Chicken Blend          ,200.000,g,P-19
I-100,2022.2 Cooked Sushi Rice           ,1350.000,g,P-20
I-101,SHICHIMI TOGARASHI             ,15.000,g,P-20
I-102, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-20
I-105, EGGPLANT            ,0.100,ea,P-21
I-106, Lettuce - Butter          ,0.050,ea,P-21
I-107,TOMATO - 6 X 7 MED         ,30.000,g,P-21
I-108, Yaki Nori half Cut         ,1.000,ea,P-21
I-109,CUCUMBER LONG ENGLI S           ,15.000,g,P-21
I-110, G21- Sweet Soy Sesame S a       ,45.000,ml,P-21
I-111,CREAM SOUR 4L            ,2.000,L,P-22
I-112,FLOUR ALL PURPOSE            ,1082.000,g,P-22
I-113,HERB OREGANO LEAVES            ,5.000,g,P-22
I-114,BUTTER REG SALTED            ,941.000,g,P-22
I-115,ONIONS              ,320.000,g,P-22
