ConversionId,ConvertToQty,ConvertToUom,Category,CO2 Emission (g CO2),Nitrogen Lost (g),Water Withdrawals (mL),PrepId,Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),Weight (g),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g
I-82,450.0,g,39,0.3015,0.0079,1.9,P-16,135.67499999999998,3.555,855.0,4750.0,2.8563157894736837,0.0748421052631579,0.018,0.02856315789473684,0.000748421052631579,0.00017999999999999998
I-86,100.0,g,39,0.3015,0.0079,1.9,P-16,30.15,0.79,190.0,4750.0,0.6347368421052632,0.016631578947368424,0.004,0.006347368421052631,0.00016631578947368423,4e-05
I-94,30.0,g,39,0.3015,0.0079,1.9,P-17,9.045,0.23700000000000002,57.0,570.0,1.586842105263158,0.041578947368421056,0.01,0.01586842105263158,0.0004157894736842106,0.0001
I-101,200.0,g,39,0.3015,0.0079,1.9,P-19,60.3,1.58,380.0,985.8,6.116859403530127,0.16027591803611282,0.03854737269222966,0.061168594035301276,0.0016027591803611282,0.0003854737269222966
I-123,320.0,g,39,0.3015,0.0079,1.9,P-23,96.47999999999999,2.5280000000000005,608.0,20444.0,0.47192330268049304,0.012365486206221877,0.002973977695167286,0.00471923302680493,0.00012365486206221876,2.973977695167286e-05
I-130,100.0,g,39,0.3015,0.0079,1.9,P-24,30.15,0.79,190.0,1955.0,1.5421994884910484,0.040409207161125324,0.009718670076726343,0.015421994884910485,0.0004040920716112532,9.718670076726343e-05
I-142,30.0,g,39,0.3015,0.0079,1.9,P-25,9.045,0.23700000000000002,57.0,2632.3387000000002,0.3436107975010966,0.00900340066420784,0.002165374843290493,0.003436107975010966,9.003400664207839e-05,2.165374843290493e-05
I-143,5.0,g,39,0.3015,0.0079,1.9,P-25,1.5074999999999998,0.03950000000000001,9.5,2632.3387000000002,0.05726846625018277,0.0015005667773679734,0.0003608958072150821,0.0005726846625018277,1.5005667773679734e-05,3.608958072150821e-06
I-21,12000.0,g,8,6.9824,0.028079999999999997,28.08,P-4,83788.8,336.96,336960.0,14759.0,567.7132597059422,2.28308150958737,2.28308150958737,5.677132597059422,0.022830815095873702,0.022830815095873702
I-44,30.0,g,8,6.9824,0.028079999999999997,28.08,P-8,209.472,0.8423999999999999,842.4,260.0,80.56615384615385,0.32399999999999995,0.32399999999999995,0.8056615384615385,0.00324,0.00324
I-51,5.0,g,8,6.9824,0.028079999999999997,28.08,P-9,34.912,0.1404,140.39999999999998,6.55,533.0076335877862,2.1435114503816797,2.143511450381679,5.3300763358778624,0.021435114503816795,0.02143511450381679
I-73,3000.0,g,8,6.9824,0.028079999999999997,28.08,P-13,20947.2,84.24,84240.0,3301.0,634.5713420175705,2.5519539533474704,2.5519539533474704,6.345713420175705,0.025519539533474703,0.025519539533474703
I-119,2000.0,g,8,6.9824,0.028079999999999997,28.08,P-23,13964.800000000001,56.16,56160.0,20444.0,68.30757190373704,0.2747016239483467,0.2747016239483467,0.6830757190373704,0.002747016239483467,0.002747016239483467
I-23,250.0,g,54,9.3703,0.00675,24.9,P-5,2342.5750000000003,1.6875,6225.0,1000.0,234.2575,0.16875,0.6224999999999999,2.342575,0.0016875,0.006225
