IngredientId,Qty,Uom,Recipe
I-1963,0.25,ea,R-8990
I-5265,2.0,slice,R-8990
I-5505,0.5,HEAD,R-8990
I-7338,5.0,oz,R-8990
I-13691,3.0,fl oz,R-8990
I-16856,15.0,g,R-8990
I-9911,18.0,Kg,R-16581
I-16748,2.1,Kg,R-16581
I-1874,300.0,g,R-16748
I-2442,720.0,ml,R-16748
I-2958,300.0,g,R-16748
I-3036,720.0,ml,R-16748
I-3230,24.0,g,R-16748
I-5283,60.0,g,R-16748
I-2119,200.0,ml,R-17014
I-5575,1.0,lb,R-17014
I-7338,5.0,Kg,R-17014
I-2119,50.0,ml,R-10589
I-2402,30.0,g,R-10589
I-5126,1.0,slice,R-10589
I-5220,30.0,g,R-10589
I-5777,50.0,g,R-10589
I-6243,40.0,ml,R-10589
I-8667,2.0,fl oz,R-10589
I-11706,1.0,ea,R-10589
I-14715,30.0,g,R-10589
I-14948,1.0,ea,R-10589
I-15074,10.0,ml,R-10589
P-18335,1.0,PORT,R-10589
I-2119,150.0,ml,R-17037
I-2257,90.0,g,R-17037
I-7338,5.0,Kg,R-17037
I-15444,1.0,oz,R-16217
I-1637,600.0,g,R-14715
I-1892,400.0,g,R-14715
I-1995,5.0,g,R-17027
I-2456,600.0,g,R-17027
I-5899,1.0,ea,R-17027
I-16844,57.0,ml,R-17027
I-1568,8.0,g,R-17314
I-1635,250.0,ml,R-17314
I-1773,225.0,g,R-17314
I-2037,25.0,g,R-17314
I-2209,5.0,g,R-17314
I-2367,5.0,g,R-17314
I-2640,50.0,ml,R-17314
I-5223,10.0,g,R-17314
I-7054,80.0,ml,R-17314
I-7656,200.0,g,R-17314
I-13842,500.0,g,R-17314
I-2087,0.01,BUNCH,R-17369
I-2119,50.0,ml,R-17369
I-3258,1.0,g,R-17369
I-6243,2.0,fl oz,R-17369
I-7775,2.0,oz,R-17369
I-17314,325.0,g,R-17369
I-1917,2.2,fl oz,R-17352
I-1941,60.0,ml,R-17352
I-2119,488.0,ml,R-17352
I-2209,10.0,g,R-17352
I-2436,17.0,ml,R-17352
I-2640,270.0,ml,R-17352
I-5908,100.0,g,R-17352
I-7981,1.0,Tbsp,R-17352
I-15592,50.0,ml,R-17352
I-2119,100.0,ml,R-14981
I-2339,1.0,g,R-14981
I-2355,50.0,g,R-14981
I-5942,300.0,g,R-14981
I-13719,1.0,ea,R-14981
I-14737,200.0,g,R-14981
I-1908,10.0,g,R-16760
I-1927,20.0,g,R-16760
