ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales
R-53788,GRL|English Muffin Sand|SP,GV - GRILL BREAKFAST,256.9291037,49.00000061,0.2569,0.524345,524.345103,81,42471.95334
R-51180,SL|Porchetta Plate|sample,GV SIMPLY LOCAL,2513.487125,480,2.5135,0.523643,523.643151,685,358695.5584
R-46325,SL|Chicken Breast,GV SIMPLY LOCAL,900.7010682,173.5,0.9007,0.519136,519.136062,49,25437.66704
R-44799,SL|Chicken Breast|Lemon Thyme,GV SIMPLY LOCAL,992.2556184,194,0.9923,0.511472,511.471968,345,176457.829
R-54307,FLX|Bao|Bun|Pork Belly (1 ea),GV FLEX BAO,697.5617056,139,0.6976,0.501843,501.842954,412,206759.297
R-54173,CALI|Churros|THREE,SPECIALS,90.21896939,18,0.0902,0.501216,501.216497,108,54131.38168
R-53418,POP|Meat lover dog|TEN,SPECIALS,273.0097545,56,0.273,0.487517,487.517419,236,115054.1109
R-54643,DIM SUM|Chicken Stirfry|SP,GV - DIM SUM,1868.160528,384,1.8682,0.4865,486.500137,57,27730.50781
R-44779,GRL|Chick Wings|W/O Gluten,GV GRILL DAY,2406.881154,497,2.4069,0.484282,484.281922,6527,3160908.105
R-47592,FNH|Rigatoni Baked,SPECIALS,1435.789312,296.7,1.4358,0.48392,483.919552,5,2419.59776
R-54638,SS|POP|Chiles|Rellenos|Squares,SPECIALS,1335.895444,278,1.3359,0.480538,480.53793,30,14416.1379
R-45376,SL|Maple salmon|100g,GV SIMPLY LOCAL,692.9191425,150,0.6929,0.461946,461.946095,524,242059.7538
R-53783,FNH|Chicken&Couscous plate|N13,SPECIALS,1490.196234,330,1.4902,0.451575,451.574616,88,39738.56621
R-44682,SAND|Add Turkey,GV-SANDWICH,219.98,50,0.22,0.43996,439.96,376,165424.96
R-44734,GRL|Side|Turkey Sausage (2),GV - GRILL BREAKFAST,676.140665,155.0000375,0.6761,0.43622,436.219678,4659,2032347.48
R-44931,GRL|Burger|Salmon,GV GRILL DAY,657.6050717,151,0.6576,0.4355,435.500047,1404,611442.066
R-36654,GRL|Egg|Scrambled Scoop.,GV - GRILL BREAKFAST,539.9854847,125,0.54,0.431988,431.988388,4344,1876557.557
R-44376,FLX|Butter Chicken,GV FLEX GLOBAL BOWL,1901.162053,467,1.9012,0.407101,407.101082,3403,1385364.982
R-54867,GRL|Calzone|blend|SP,SPECIALS,330.4462417,84,0.3304,0.393388,393.388383,26,10228.09796
R-14081,G&G|Cereal Cold|Large| & Milk,GV - GRAB & GO,660.9819258,178.441,0.661,0.37042,370.420434,85,31485.73689
R-54671,G&G|Meatball & Spaghetti|Pack,GV - GRAB & GO,1618.191391,445.1385,1.6182,0.363525,363.525373,28,10178.71044
R-55270,PASTA|Chicken Pasta|SP,SPECIALS,1702.479491,472.796,1.7025,0.360088,360.087541,34,12242.97639
R-44739,ADD|Creamed Spin|Omelet,ADD ONS,251.9484945,70,0.2519,0.359926,359.926421,935,336531.2036
R-51173,SL|maple bals Pork Loin|+ 3,GV SIMPLY LOCAL,1902.277541,532,1.9023,0.357571,357.570966,1530,547083.578
R-38256,GRL|Egg Any Style,GV - GRILL BREAKFAST,139.1102604,39.00000033,0.1391,0.356693,356.692972,3661,1305852.97
R-35879,CAL|Taco|Cod(1),GV - CALIENTE,520.0388785,147,0.52,0.353768,353.767945,1087,384545.7562
R-54786,FLX|Baked Chicken Alfredo|Sp,SPECIALS,1698.20562,482.796,1.6982,0.351744,351.743929,110,38691.83219
R-54918,POP|Eggplant Parmesan|TEN,SPECIALS,1650.940314,475,1.6509,0.347566,347.566382,88,30585.84162
R-44890,GRL|Benny|Classic,GV - GRILL BREAKFAST,573.3684793,165,0.5734,0.347496,347.496048,2882,1001483.61
R-31284,GRLlVeggie Quesadilla,SPECIALS,642.3246675,186.03,0.6423,0.34528,345.280152,180,62150.42736
R-54919,POP|Chicken Ballotine|TEN,SPECIALS,1638.48463,475,1.6385,0.344944,344.944133,80,27595.53064
R-49570,DOD|SousVide salmon|FLX,GV-FLEX DOD,1003.783328,295,1.0038,0.340266,340.265535,691,235123.4847
R-14079,G&G|Cereal Cold|Small| & Milk,GV - GRAB & GO,396.5138017,119.294,0.3965,0.332384,332.383692,782,259924.0471
R-54903,PASTA|Baked Chorizo Penne|Sp,SPECIALS,1903.533516,597.296,1.9035,0.318692,318.691824,60,19121.50944
R-51177,SL|Turkey Plate|sample,GV SIMPLY LOCAL,1337.919319,420.06,1.3379,0.318507,318.506718,646,205755.3398
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO,1148.295771,361,1.1483,0.318087,318.087471,378,120237.064
R-53773,SS|POP|Moroccan|Chick,SPECIALS,1669.539212,525,1.6695,0.318007,318.007469,104,33072.77678
R-54640,SS|POP|Chicken|Polenta|Beans,SPECIALS,1649.384399,521,1.6494,0.31658,316.580499,109,34507.27439
R-51248,GZA|Combo|Miso+Cone|BEEF,GV GYAZA,1845.204412,596,1.8452,0.309598,309.598056,7,2167.186392
R-54673,G&G|Lasagna Vegetable|Package,GV - GRAB & GO,768.3352565,250,0.7683,0.307334,307.334103,22,6761.350266
R-51172,SL|Salmon Plate|Sample,GV SIMPLY LOCAL,1191.116265,390,1.1911,0.305414,305.414427,3218,982823.6261
R-53249,POP|Flatbread|RoastedApple|MR,SPECIALS,332.4218426,111,0.3324,0.299479,299.479138,42,12578.1238
R-47012,G&G|Yogurt|Greek|Vanilla,GV - GRAB & GO,446.73,150,0.4467,0.29782,297.82,182,54203.24
R-44816,SL|Chicken Breast|Plate Day 3,GV SIMPLY LOCAL,1224.08959,419,1.2241,0.292145,292.145487,345,100790.193
R-54847,FLX|Pasta|Scallop & Spaghett,SPECIALS,1231.287331,436.436875,1.2313,0.282123,282.122662,44,12413.39713
R-38033,SIDE|Fruit Cup|9oz,GV - SIDES,714.5368142,255.1455,0.7145,0.280051,280.050722,15268,4275814.423
R-53772,SS|POP|Koftas,SPECIALS,741.8143162,265,0.7418,0.27993,279.929931,62,17355.65572
R-54609,POP|Coq Au Vin|Ed,SPECIALS,1082.155357,396,1.0822,0.273272,273.271555,81,22134.99596
R-51174,SL|Chicken Thigh Plate|Sample,GV SIMPLY LOCAL,1145.444658,420.06,1.1454,0.272686,272.685963,4792,1306711.135
R-44379,FLX|Chicken Pot Pie(1),GV FLEX GLOBAL BOWL,880.615109,325,0.8806,0.270958,270.958495,1520,411856.9124
R-44678,SAND|Add Cheese,GV-SANDWICH,37.86920062,14,0.0379,0.270494,270.49429,7522,2034658.049
R-40779,GZA|Sushi cone|chicken,GV GYAZA,243.7540213,92,0.2438,0.26495,264.950023,1,264.950023
R-54833,G&G |Chicken Alfredo| Packaged,SPECIALS,1233.125822,471.796,1.2331,0.261368,261.368435,4,1045.47374
R-50330,CAL|Taco|Chicken(1),GV - CALIENTE,290.2008782,112,0.2902,0.259108,259.107927,478,123853.5891
R-44511,CAL|Soup|Tortilla Chicken,GV - CALIENTE,999.5085114,388,0.9995,0.257605,257.605286,906,233390.3891
R-55426,GRL|Afritada plate|SP,SPECIALS,1254.212141,495,1.2542,0.253376,253.37619,95,24070.73805
R-55304,FLX|BPD||Adobo Chicken plate+1,GV - FLEX BC,1347.739984,550,1.3477,0.245044,245.043633,24,5881.047192
R-55057,FF|Bowl|Mediterranean,GV FRESH FARE DAY,988.5190528,405,0.9885,0.244079,244.078778,33,8054.599674
R-40586,FLX|Bao|Bun|Thai Chicken,GV FLEX BAO,614.9377715,252,0.6149,0.244023,244.022925,108,26354.4759
R-53419,POP|Plant base dog|TEN,SPECIALS,206.4095874,86,0.2064,0.240011,240.011148,78,18720.86954
R-52651,GRL|Add|PickledVeg,ADD ONS,54.24538223,23,0.0542,0.235849,235.849488,302,71226.54538
R-49939,GRLTortellini Alfredo|SP,SPECIALS,342.5955774,146,0.3426,0.234655,234.654505,89,20884.25095
R-54196,FF|Empanada|feta pepper|ARI,SPECIALS,603.063701,260,0.6031,0.231948,231.947577,49,11365.43127
R-55144,DEL|Salad|Greek,GV - DELISH,674.9744817,293,0.675,0.230367,230.366717,17,3916.234189
R-45059,FLX|Chicken Soba Noodle,GV - FLEX ASIAN NOODLE,856.671097,375,0.8567,0.228446,228.445626,344,78585.29534
R-48501,G&G|Cup|Chocolate Almond Bark,GV - GRAB & GO,535.675,236.588125,0.5357,0.226417,226.416689,3,679.250067
R-40777,GZA|Sushi Cone|Tuna,GV GYAZA,164.0750025,72.5,0.1641,0.22631,226.310348,1,226.310348
R-40603,FLX|Pasta|Meatball & Spaghetti,SPECIALS,923.1871299,408.294,0.9232,0.226108,226.108424,2377,537459.7238
R-50302,DEL|Salad|Caesar Classic,GV - DELISH,619.510458,280.5,0.6195,0.220859,220.859343,2,441.718686
R-47464,FLX|Cabbage Roll Pomme Anna,GV-FLEX PLANT FORWARD,642.3114057,294,0.6423,0.218473,218.473267,305,66634.34644
R-44800,SL|Turkey Roast|+3,GV SIMPLY LOCAL,1426.019342,654,1.426,0.218046,218.045771,84,18315.84476
R-44775,GRL|Poutine|Classic,GV GRILL DAY,863.8029245,400,0.8638,0.215951,215.950731,4088,882806.5883
R-32742,FF|Bowl|Overnight Oats,GV FRESH FARE BREAKFAST,721.4576113,340,0.7215,0.212193,212.193415,1228,260573.5136
R-53992,FNH|Healthy Harvest Combo,SPECIALS,1719.097688,813.9999254,1.7191,0.211191,211.191382,6,1267.148292
R-45203,FLX|Salmon Laksa 100g,GV - FLEX ASIAN NOODLE,1255.139591,595,1.2551,0.210948,210.94783,638,134584.7155
R-44780,ADD|Condiment House Made,ADD ONS,126.095723,60,0.1261,0.21016,210.159538,333,69983.12615
R-53420,POP|Cauliflower Dog|TEN,SPECIALS,296.9347863,147,0.2969,0.201996,201.996453,24,4847.914872
R-54637,SS|POP|Vegtable|Paella,SPECIALS,527.5794232,265,0.5276,0.199087,199.086575,61,12144.28108
R-54670,G&G |Penne Alfredo| Packaged,GV - GRAB & GO,695.4937783,350.1455,0.6955,0.19863,198.629935,18,3575.33883
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO,838.3062136,423,0.8383,0.198181,198.181138,460,91163.32348
R-50359,GZA|Bowl|Tuna Albacore,GV GYAZA,777.9239331,398,0.7779,0.195458,195.458275,1376,268950.5864
R-55455,FLX|Beyond Spaghetti|PASTA,SPECIALS,754.2543215,391.533875,0.7543,0.192641,192.640885,24,4623.38124
R-43884,SAND|Turkey Full Build,GV-SANDWICH,594.7616485,310,0.5948,0.191859,191.858596,3014,578261.8083
R-50362,GZA|Bowl|Karaage Chicken,GV GYAZA,896.4772781,478,0.8965,0.187548,187.547548,2377,445800.5216
R-54951,GRL|Poutine|Chicken Skin|SP,GV GRILL DAY,743.6471096,400,0.7436,0.185912,185.911777,25,4647.794425
R-54645,DIM SUM|Tofu Stir Stirfry|SP,GV - DIM SUM,712.4421276,384,0.7124,0.185532,185.531804,9,1669.786236
R-35896,CAL|Bowl|Havana|Plant based,GV - CALIENTE,770.2754806,420,0.7703,0.183399,183.398924,14644,2685693.843
R-49836,DOD|Rice Coconut|SIDE,GV-FLEX DOD,320.718765,175,0.3207,0.183268,183.267866,68,12462.21489
R-40776,GZA|Sushi Cone|Salmon,GV GYAZA,187.7081066,102.5,0.1877,0.18313,183.12986,1,183.12986
R-47103,FLX|Potato|Pomme Anna,GV-FLEX PLANT FORWARD,274.4716667,150,0.2745,0.182981,182.981111,19,3476.641109
R-38159,SIDE|Large Bowl|32oz,GV - SIDES,1628.992999,907.184,1.629,0.179566,179.565887,2024,363441.3553
R-53778,FNH|Ravioli Squash|N13,SPECIALS,196.4985312,110,0.1965,0.178635,178.635028,84,15005.34235
R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC,402.9042643,229,0.4029,0.175941,175.940727,69,12139.91016
R-38160,SIDE|Small Bowl|16oz,GV - SIDES,781.8610867,453.592,0.7819,0.172371,172.371005,15498,2671405.835
R-46327,SIDE|Small Plate|6 inch,GV - SIDES,390.9305434,226.796,0.3909,0.172371,172.371005,5628,970104.0161
R-53417,POP|Cauliflower fries|TEN,SPECIALS,627.5156215,365,0.6275,0.171922,171.922088,73,12550.31242
R-47099,DOD|Potato salad | Add tuna,GV-FLEX DOD,684.0666835,400,0.6841,0.171017,171.016671,4,684.066684
R-46547,DEL|Salad|Bandit,GV - DELISH,498.6117299,295,0.4986,0.169021,169.020925,1112,187951.2686
R-50360,GZA|Bowl|Salmon ponzu,GV GYAZA,778.4945607,462,0.7785,0.168505,168.505316,2374,400031.6202
R-44679,SAND|Add Falafel,GV-SANDWICH,67.104,40,0.0671,0.16776,167.76,256,42946.56
R-33923,FRUIT|Blueberry|Basket,GV - FRUIT,782.9647409,473.17625,0.783,0.16547,165.47,39,6453.33
R-53152,FRUIT|Blueberry|Basket.,GV - FRUIT,782.9647409,473.17625,0.783,0.16547,165.47,16,2647.52
R-17207,FRUIT|Raspberry|Basket,GV - FRUIT,516.2661109,311.9998253,0.5163,0.16547,165.47,2,330.94
R-41830,FLX|Pasta|Tomato & Spaghetti,SPECIALS,544.6540849,329.327875,0.5447,0.165384,165.383536,44,7276.875584
R-53978,POP|Sauce Add|MR,SPECIALS,99.2164506,60,0.0992,0.165361,165.360751,3,496.082253
R-49585,FLX|Rotini|Primavera,SPECIALS,586.7374559,360,0.5867,0.162983,162.982627,17,2770.704659
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE,487.4720452,300,0.4875,0.162491,162.490682,514,83520.21055
R-50558,FLX|Bao|Bun|Smoked Tofu,GV FLEX BAO,172.3100019,107,0.1723,0.161037,161.037385,33,5314.233705
R-36666,FF|Bowl|Five Alarm,GV FRESH FARE DAY,756.3079631,471,0.7563,0.160575,160.574939,1287,206659.9465
R-53975,FREE|Greens|Latino Bowl,GV - CALIENTE,752.5031217,470,0.7525,0.160107,160.107047,3,480.321141
R-36628,CAL|Side|Rice&Beans,GV - CALIENTE,187.8000889,120,0.1878,0.1565,156.500074,21,3286.501554
R-14068,SIDE|Soup|Congee|Meat,GV - SOUP,738.6959904,473.176,0.7387,0.156114,156.114425,5525,862532.1981
R-53150,GRL|French Toast (2) Special,SPECIALS,311.6340639,200.000042,0.3116,0.155817,155.816999,84,13088.62792
R-53619,FREE|Greens|Thai Coconut|,GV FRESH FARE DAY,671.4854064,434,0.6715,0.15472,154.72014,9,1392.48126
R-46347,FF|Pasta|Avocado Spin old,GV FRESH FARE DAY,541.5918774,355,0.5416,0.152561,152.561092,8,1220.488736
R-13180,ADD|Crackers,ADD ONS,9.134999817,5.99999988,0.0091,0.15225,152.25,935,142353.75
R-48484,G&G|Donut|Glazed|Package,GV - GRAB & GO,21.315,14,0.0213,0.15225,152.25,416,63336
R-48482,G&G|Donut|Chocolate|Package,GV - GRAB & GO,21.315,14,0.0213,0.15225,152.25,276,42021
R-49122,G&G|Macarons (8),GV - GRAB & GO,12.18,8,0.0122,0.15225,152.25,251,38214.75
R-48483,G&G|Donut|Powdered|Package,GV - GRAB & GO,24.36,16,0.0244,0.15225,152.25,168,25578
R-53364,DES|Cookie|6 pack,GV - DESSERT,9.135,6,0.0091,0.15225,152.25,50,7612.5
R-54319,G&G|Croissant|Chocolate|Mini 6,GV - GRAB & GO,9.135,6,0.0091,0.15225,152.25,12,1827
R-54462,G&G|Cinnamon Bun|Mini (6),GV - GRAB & GO,9.135,6,0.0091,0.15225,152.25,3,456.75
R-51223,FLX|Bao|Bowl|Smoked Tofu,GV FLEX BAO,430.7414734,285,0.4307,0.151137,151.137359,91,13753.49967
R-35900,CAL|Bowl|Latino,GV - CALIENTE,556.6267746,370,0.5566,0.15044,150.439669,1632,245517.5398
R-45982,FREE|Greens|Five Alarm Bowl,GV FRESH FARE DAY,685.9871937,466,0.686,0.147208,147.207552,8,1177.660416
R-54729,FLX|Rotini & Veggie Pesto|SP,SPECIALS,565.4935007,386,0.5655,0.146501,146.500907,135,19777.62245
R-43922,FLX|Laksa Tofu Noodle,GV - FLEX ASIAN NOODLE,851.9922628,585,0.852,0.14564,145.639703,551,80247.47635
R-36854,SL|Side|Rice Brown,GV SIMPLY LOCAL,144.8021283,100,0.1448,0.144802,144.802128,638,92383.75766
R-54607,POP|Spicy Potato Curry|Ed,SPECIALS,570.305325,396,0.5703,0.144016,144.016496,101,14545.6661
R-49761,GZA|Bowl|Bibimbap Tofu,GV GYAZA,661.7398784,460,0.6617,0.143856,143.856495,872,125442.8636
R-36568,FF|Pasta|Spinach Avocado new,GV FRESH FARE DAY,513.656847,357.5,0.5137,0.14368,143.680237,7005,1006480.06
R-50534,FF|Salad|UBC Power|fall2020,GV FRESH FARE FEATURE,501.8099544,357,0.5018,0.140563,140.563012,499,70140.94299
R-55294,FLX|Sweet and sour tofu|SP,SPECIALS,404.0161701,295,0.404,0.136955,136.954634,66,9039.005844
R-44520,CAL|Side|Potato Los Cabos,GV - CALIENTE BRUNCH,125.7760251,93,0.1258,0.135243,135.243038,3,405.729114
R-46335,CAL|Side|Spanish Potatoes,GV - CALIENTE,125.7760251,93,0.1258,0.135243,135.243038,3,405.729114
R-40621,FF|Bowl|Thai Coconut,GV FRESH FARE DAY,587.9434062,443,0.5879,0.132719,132.718602,2557,339361.4653
R-51989,GRL|Add|Mushroom,ADD ONS,26.19421571,20,0.0262,0.130971,130.971079,946,123898.6407
R-53786,FLX|Side|Rice Brown,GV FLEX GLOBAL BOWL,223.368849,173.097,0.2234,0.129043,129.042588,1,129.042588
R-54299,GZA|Tofu Wakame Cone|G&G,GV GYAZA,143.1249675,112,0.1431,0.12779,127.79015,4,511.1606
R-55234,FF|Pasta|Tomato basil,GV FRESH FARE DAY,368.2190648,294,0.3682,0.125245,125.24458,56,7013.69648
R-57248,SL|Veg blend|SL,FOOD,282.0823553,230,0.2821,0.122645,122.644502,84,10302.13817
R-38028,SIDE|Fruit Topper|4oz,GV - SIDES,136.9203917,112,0.1369,0.12225,122.25035,2195,268339.5183
R-53779,FNH|Autum Salad|N13,SPECIALS,333.5667088,275.9999254,0.3336,0.120858,120.857536,22,2658.865792
R-50532,GZA|Salad|Sunomono,GV GYAZA,203.5756111,170,0.2036,0.11975,119.750359,1,119.750359
R-44784,CAL|Side|Brown Rice Chipotle,GV - CALIENTE BRUNCH,155.2329221,130,0.1552,0.11941,119.40994,10,1194.0994
R-54251,G&G|Salad Asian|D19,SPECIALS,201.7126188,175,0.2017,0.115264,115.264354,7,806.850478
R-53324,Eat It|Glazed Chick Plate|POP,SPECIALS,292.2787963,257,0.2923,0.113727,113.727158,77,8756.991166
R-17126,SL|Side|Vegetable Fancy,GV SIMPLY LOCAL,146.2705988,129,0.1463,0.113388,113.388061,985,111687.2401
R-44324,DEL|Salad|Marinated Tofu,GV - DELISH,328.9681557,292.5,0.329,0.112468,112.467746,424,47686.3243
R-38014,SIDE|Soup|16oz,GV - SOUP,529.0441372,473.176,0.529,0.111807,111.807052,10590,1184036.681
R-38026,SIDE|Soup|8oz,GV - SOUP,264.5220686,236.588,0.2645,0.111807,111.807052,5857,654853.9036
R-55086,FLX|Rotini Veggie SunDry Pesto,SPECIALS,481.8968486,437.796,0.4819,0.110073,110.073379,67,7374.916393
R-53770,FREE|Greens|Marinated Tofu|,GV - DELISH,243.8996049,225.5,0.2439,0.108159,108.15947,1,108.15947
R-43886,SAND|Falafel Full Build,GV-SANDWICH,320.9008396,300,0.3209,0.106967,106.966947,2289,244847.3417
R-48467,G&G|Cup|Fruit Loop Medley,GV - GRAB & GO,251.345,236.588125,0.2513,0.106237,106.237369,114,12111.06007
R-44774,GRL|Side|Yam Fries,GV GRILL DAY,212.4160051,202,0.2124,0.105156,105.156438,4388,461426.4499
R-50013,GZA|Combo|Bibimbap Miso|SP,SPECIALS,662.8690074,645,0.6629,0.10277,102.770389,4,411.081556
R-57247,SL|Veg blend|UBC,FOOD,205.4863072,200,0.2055,0.102743,102.743154,84,8630.424936
R-50333,FF|Bowl|Roasted squash,GV FRESH FARE DAY,375.7283683,375,0.3757,0.100194,100.194232,311,31160.40615
R-50363,GZA|Bowl|Acorn Squash,GV GYAZA,382.4264579,385,0.3824,0.099332,99.331547,533,52943.71455
R-43902,FLX|Soba Noodle & Broccoli|NB,GV - FLEX ASIAN NOODLE,293.00587,295,0.293,0.099324,99.324024,148,14699.95555
R-46326,SL|Chicken Breast plate,GV SIMPLY LOCAL,191.8075146,195.125,0.1918,0.0983,98.299815,345,33913.43618
R-54039,FF|Bowl|Kale,GV FRESH FARE DAY,262.6435059,278,0.2626,0.094476,94.476081,81,7652.562561
R-53776,FNH|Pumpkin Soup|N13,SPECIALS,272.5561478,292,0.2726,0.093341,93.341147,31,2893.575557
R-47535,G&G|Chips|Taro House-Made,GV - GRAB & GO,138.3531339,151.3,0.1384,0.091443,91.442917,47,4297.817099
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH,317.8460082,348,0.3178,0.091335,91.33506,463,42288.13278
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY,602.328352,660,0.6023,0.091262,91.261872,35,3194.16552
R-28374,SAND|Vegetable Full Build,GV-SANDWICH,226.908917,249.5735,0.2269,0.090919,90.918674,1422,129286.3544
R-54764,G&G|Rotini & Veggie Pesto,GV - GRAB & GO,329.9298236,385,0.3299,0.085696,85.696058,32,2742.273856
R-50300,DEL|Salad|Ubc Fresh,GV - DELISH,191.0213852,225,0.191,0.084898,84.898393,33,2801.646969
R-54956,FLX|Chowder Chowdown|SP,SPECIALS,278.8301602,330.25,0.2788,0.08443,84.430026,4,337.720104
R-46330,SL|Side|Quinoa,GV SIMPLY LOCAL,139.7157858,170.097,0.1397,0.082139,82.138889,149,12238.69446
R-48469,G&G|Cup|Pineapple Ring Dried,GV - GRAB & GO,192.205,236.588125,0.1922,0.08124,81.240341,82,6661.707962
R-36639,GRL|Salad|Signature,GV GRILL DAY,84.90455252,105,0.0849,0.080861,80.861479,45,3638.766555
R-37685,GRL|Salad|Signature Greens,GV GRILL DAY,84.90455252,105,0.0849,0.080861,80.861479,1627,131561.6263
R-44930,FLX|PHO Veg Noodle Soup,GV - FLEX ASIAN NOODLE,398.5574308,506,0.3986,0.078766,78.766291,153,12051.24252
R-52828,BBC|High tideline salad|POP,SPECIALS,130.0213031,174,0.13,0.074725,74.724887,8,597.799096
R-44768,FLX|Steamed Vegetables|NB,GV - FLEX ASIAN NOODLE,99.45249403,135,0.0995,0.073669,73.668514,25,1841.71285
R-49825,DEL|Rotini Pesto|Salad,SPECIALS,256.2065168,350,0.2562,0.073202,73.201862,44,3220.881928
R-47363,CAL|Side|Pico de Gallo,GV - CALIENTE,84.22833588,120,0.0842,0.07019,70.19028,6,421.14168
