PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-18452,2023 Gm Yam fries prep,1.0,PORT,N,2630.46,g,1225.1444699962283,0.4657529367472717,11.371649999940749,0.004323065167286614,6158.64599939025,2.341280992446283,183350.51797795377,69.70283447684199,2.764124199991075,0.0010508140021103058
P-18540,2023 Home made burger prep,1.0,ea,N,501.25,g,7386.5851037338325,14.736329384007647,61.07408209679495,0.12184355530532659,384042.7476617943,766.1700701482181,14164426.256405279,28258.206995322253,21.932062516763768,0.04375473818805739
P-18397,2023 Mixed Green salad prep,1.0,ea,N,769.37,g,1590.9387071461324,2.0678460391568847,16.53192699335997,0.021487615832902207,256894.60714282346,333.9025529235913,12920169.032573707,16793.18017673383,2.0165191489771126,0.0026210004925810893
P-18275,Beets salad prep 2023 ,1.0,PORT,N,384.0,g,586.9801502302751,1.5285941412246746,3.792046859743776,0.00987512203058275,54913.60544722292,143.00418085214304,2660711.2601901786,6928.9355734119235,0.8036339040975963,0.002092796625254157
P-15019,Butter Chicken Prep 2023 ,1.0,PORT,N,619.8,g,747.809619313084,1.206533751715205,6.262882311393862,0.010104682657944276,84681.80256274297,136.62762594827845,4072166.823879613,6570.130403161686,1.3870410202729213,0.0022378848342576984
P-17366,Chicken Teriyaki Prep 2023,1.0,PORT,Y,707.97,g,1195.9818585499997,1.6893114942017313,20.921744299999997,0.029551738491743994,66628.82199999999,94.11249346723729,177909.5491,251.29532197691992,3.5292649749999994,0.004985048766190657
P-18316,Crispy EggPlant prep 2023,3.0,PORT,Y,933.0,g,1112.138594363395,1.192002780668162,11.524251144619443,0.012351823306130164,201771.851433861,216.26136273725726,6644629.6554695135,7121.789555701515,2.5382050463577945,0.002720477005742545
P-18266,KFC Gallery prep 2022,1.0,PORT,N,569.9,g,974.9860922666022,1.710802056968946,21.637359602259178,0.03796694087078291,141776.12976179947,248.77369672188013,1697599.2014550979,2978.766803746443,2.527619470916388,0.004435198229367237
P-18324,Nachos prep 2023,1.0,PORT,N,754.34,g,1657.2266869999999,2.1969227231752257,12.58919522,0.016689019831906036,172910.55442,229.22098048625287,10335140.248532,13700.904431068218,2.57960849,0.0034196893840973564
P-18295,Pesto chicken prep 2022,1.0,PORT,N,612.36,g,746.5384007752915,1.2191168606298444,6.038705845492497,0.009861365610902895,171507.93501935134,280.0769727274011,9532757.424253376,15567.243817776105,1.360895809817409,0.002222378682176186
