ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
R-67844,GRL|Sandwich|Buffalo chicken,FT GRILL FREATURES,644.5000024375144,1308.5504680864692,18.217002589089574,223.69,6922.54,203.03,2.83,34.71,1074.09,Yellow,Yellow,,TRUE,
R-50533,MS|Flatbread|Artichoke Pesto,FT MERCANTE,279.9999527500165,608.5526523476145,6.024942157843102,116.79,4775.53,217.34,2.15,41.71,1705.55,Yellow,Yellow,,TRUE,
R-62042,MS|Flatbread|BBQ Brisket,FT MERCANTE,280.9999527500165,2473.9627086891323,20.881774604017387,185.67,7162.8,880.41,7.43,66.07,2549.04,Red,Red,TRUE,,
R-68036,MS|Flatbread|Caprese.,FT MERCANTE,234.99995275001655,462.2097613952335,5.048040967366912,100.52,4010.61,196.69,2.15,42.77,1706.64,Yellow,Yellow,,TRUE,
R-50858,MS|Flatbread|Greek,FT MERCANTE,239.99995275001655,486.10978236701015,5.054162373209091,101.94,4032.21,202.55,2.11,42.48,1680.09,Yellow,Yellow,,TRUE,
R-57087,MS|Pizza|4 Cheese,FT MERCANTE,615.0000000000045,1620.717000000007,16.861500000000067,353.58,14286.49,263.53,2.74,57.49,2323.01,Yellow,Yellow,,TRUE,
R-54386,MS|Pizza|Bacon & Egg ,FT MERCANTE,665.0000000000045,2479.3644999849316,30.40359999960507,513.64,17378.11,372.84,4.57,77.24,2613.25,Red,Red,TRUE,,
R-57080,MS|Pizza|Garden Vegetable,FT MERCANTE,655.0000000000045,1263.7082136726258,13.288047455357209,285.93,10690.85,192.93,2.03,43.65,1632.19,Yellow,Yellow,,TRUE,
R-57046,MS|Pizza|Hawaiian,FT MERCANTE,695.0000000000045,2085.257000000007,24.021414285714354,454.45,15643.14,300.04,3.46,65.39,2250.81,Yellow,Red,TRUE,,
R-8355,MS|Pizza|Margherita,FT MERCANTE,585.0000000000045,1312.8762000000067,13.665950000000066,299.68,11494.93,224.42,2.34,51.23,1964.95,Yellow,Yellow,,TRUE,
R-61829,MS|Pizza|Pepperoni,FT MERCANTE,655.0000000000045,2060.0320000000065,24.14850000000007,438.54,15145.17,314.51,3.69,66.95,2312.24,Yellow,Red,TRUE,,
R-61906,VEG|HASH|Sweet Potato & Kale,FEAST,313.0,492.51918869961906,6.307274607819835,56.3,2106.27,157.35,2.02,17.99,672.93,Green,Green,,,TRUE
R-36669,VEG|Toast|Smashed Avocado,FEAST,127.5,109.87659800628623,0.5849083051050342,12.29,799.64,86.18,0.46,9.64,627.17,Green,Green,,,TRUE
R-62187,ADD|Fried Egg,FT STICKS AND SPOONS,55.2,199.66117666666668,3.061225,31.65,931.13,361.71,5.55,57.34,1686.83,Red,Red,TRUE,,
R-35896,BNO|Bowl|Havana|Plant based,FT BUENO,300.0,492.98279746786716,2.072850382593689,53.77,493.38,164.33,0.69,17.92,164.46,Green,Green,,,TRUE
R-67680,BRNCH|Eggs Benny|Roast Mushroo,FOOD - HOT,278.0000187500047,718.2433605718596,9.547318916227578,117.65,3900.87,258.36,3.43,42.32,1403.19,Yellow,Yellow,,TRUE,
R-65000,BRNCH|Eggs Benny|TMRWSausage.5,FOOD - HOT,119.50000937500235,354.2248117810774,4.702310646386398,58.55,1929.31,296.42,3.93,49.0,1614.49,Yellow,Yellow,,TRUE,
R-67182,BRNCH|Quiche|Beyond Sausage,FT GRILL BREAKFAST,325.99999250000036,948.2975720662005,10.234539929133787,153.56,5796.03,290.89,3.14,47.1,1777.92,Yellow,Yellow,,TRUE,
R-50569,GRL|Crepe|Nutella Banana,FEAST,380.0000096000004,857.8956225564473,3.921692449772314,101.77,3089.3,225.76,1.03,26.78,812.97,Yellow,Green,,,TRUE
R-67678,GRL|Quiche|Broccoli & Cheddar,FT GRILL BREAKFAST,299.99999250000036,760.1564912042014,7.598966282442629,117.98,4750.82,253.39,2.53,39.33,1583.61,Yellow,Yellow,,TRUE,
R-65942,RTS|Bowl|Chili Miso Scramble,FEAST,310.0,720.9223978433073,9.91425593958817,98.34,2963.25,232.56,3.2,31.72,955.89,Yellow,Yellow,,TRUE,
R-51215,RTS|Bowl|White bean breakfast,FEAST,290.0,731.0985872971016,6.507045450966614,132.89,3097.88,252.1,2.24,45.82,1068.23,Yellow,Yellow,,TRUE,
R-67600,RTS|Califlower&Broccoli Gratin,FT HOMESKILLET,201.0,939.6780767062805,8.391183209787027,105.19,5172.38,467.5,4.17,52.33,2573.32,Red,Red,TRUE,,
R-55942,RTS|Falafel bowl|Med,FEAST,282.9999994,580.6129501719213,2.7762934725730553,83.98,1902.7,205.16,0.98,29.67,672.33,Yellow,Green,,,TRUE
R-65609,RTS|Green Thai Curry|TOFU,FEAST,495.0,360.0150242619033,1.3731243382045786,62.61,262.25,72.73,0.28,12.65,52.98,Green,Green,,,TRUE
R-51301,RTS|Mapo Tofu|PLATE,FEAST,302.0,364.08379132167215,1.8876053200425904,88.9,600.44,120.56,0.63,29.44,198.82,Green,Green,,,TRUE
R-44873,S&S|Bibimbap|TOFU,FEAST,395.0,500.1454826431105,2.289861382525646,128.47,765.24,126.62,0.58,32.52,193.73,Green,Green,,,TRUE
R-44846,S&S|Pineapple Fried Rice|SIDE,FT SIDES ,150.0,224.0647430004359,1.0125096268020326,113.29,823.06,149.38,0.68,75.53,548.71,Green,Green,,,TRUE
R-45456,Spicy Dan Dan Noodle Tofu,FEAST,5714.110000001085,279.81734208516684,2.2562843060594857,47.47,1468.84,4.9,0.04,0.83,25.71,Green,Green,,,TRUE
R-56906,STEAMED|Bak Choy|SIDE,FT SIDES ,150.0,103.66666666666667,1.3166666666666669,9.08,413.9,69.11,0.88,6.05,275.93,Green,Green,,,TRUE
