,Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission,Nitrogen Lost,Freshwater Withdrawals,Stress-Weighted Water Use (L) / 100g,GHG Only Label,Label,RED,YELLOW,GREEN,Restaurant
278,Bueno , Breakfast Quesadilla,R-56509,BNO|Quesadilla|Breakfast,FT BUENO,360.00000187500007,1668.297257596466,17.33726097379011,246.07,11678.79,463.42,4.82,68.35,3244.11,Red,Red,True,,,Feast
279,Bueno , Chipotle Chicken Quesadilla,R-47422,BNO|Quesadilla|Chipotle Chick,FT BUENO,340.00000187500007,1463.5582223616077,19.88076782128924,165.69,7402.38,430.46,5.85,48.73,2177.17,Red,Red,True,,,Feast
280,Bueno , White Bean & Kale Quesadilla,R-57098,BNO|Quesadilla|Kale & Bean,FT BUENO,350.00000187500007,1242.357178996882,9.926782381163036,145.4,8387.05,354.96,2.84,41.54,2396.3,Yellow,Red,True,,,Feast
281,Bueno , Spinach Artichoke Quesadilla,R-55133,BNO|Quesadilla|Spin Artichoke,FT BUENO,365.00000187500007,1176.7306166729963,10.0679665167004,139.29,8135.02,322.39,2.76,38.16,2228.77,Yellow,Yellow,,True,,Feast
282,Bueno , Spinach Mushroom Quesadilla,R-57096,BNO|Quesadilla|Spin Mushroom ,FT BUENO,345.00000187500007,1046.7799389171569,9.61354780601124,148.55,7675.52,303.41,2.79,43.06,2224.79,Yellow,Yellow,,True,,Feast
283,Bueno , Al Pastor Taco,R-67816,BNO|Taco|Al Pastor|1 PC,FT BUENO,216.0000048000002,659.0873533937574,8.069263858993084,132.3,4025.38,305.13,3.74,61.25,1863.6,Yellow,Yellow,,True,,Feast
285,Bueno , Cauliflower Taco,R-68082,BNO|Taco|Cauliflower|1PC,FT BUENO,246.0000048000002,387.6200597508477,3.1560246491893835,58.99,2310.67,157.57,1.28,23.98,939.3,Green,Green,,,True,Feast
286,Bueno , Chickpea Taco,R-67695,BNO|Taco|Chickpea,FT BUENO,371.0000096000004,662.6384437087133,4.877534757737264,109.07,3557.44,178.61,1.31,29.4,958.88,Green,Green,,,True,Feast
287,Bueno , Cod Taco,R-57239,BNO|Taco|Cod,FT BUENO,195.0000048000002,437.4964990554469,4.535877209155225,112.76,2456.58,224.36,2.33,57.83,1259.78,Yellow,Yellow,,True,,Feast
288,Bueno , Cumin Lime Chicken Taco,R-68085,BNO|Taco|Cumin Lime Chicken,FT BUENO,251.0000048000002,616.7625653660341,8.548502718943023,72.37,2525.51,245.72,3.41,28.83,1006.18,Yellow,Yellow,,True,,Feast
289,Bueno , Elote Taco,R-67715,BNO|Taco|Elote,FT BUENO,160.0,227.43941528797475,1.6496569679716495,14.78,914.96,142.15,1.03,9.24,571.85,Green,Green,,,True,Feast
290,Bueno , Fried Chicken Taco,R-61877,BNO|Taco|Fried Chicken|1PC,FT BUENO,325.0000096000004,608.8360570944573,7.796775311163779,124.31,3418.96,187.33,2.4,38.25,1051.99,Yellow,Yellow,,True,,Feast
291,Bueno , Jackfruit Taco,R-57160,BNO|Taco|Jackfruit|1PC,FT BUENO,236.0000048000002,453.07718672355526,4.051750552529197,78.42,3151.79,191.98,1.72,33.23,1335.5,Yellow,Yellow,,True,,Feast
292,Bueno , Taco Pollo Asado,R-68118,BNO|Taco|Pollo Asado,FT BUENO,206.0000048000002,535.3298548818168,9.43289520544736,88.01,2440.4,259.87,4.58,42.72,1184.66,Yellow,Yellow,,True,,Feast
293,Bueno , Pork Belly Taco,R-61835,BNO|Taco|Pork belly tajin(1),FT BUENO,216.0000048000002,587.4594872175774,7.127287721505311,118.15,3656.36,271.97,3.3,54.7,1692.76,Yellow,Yellow,,True,,Feast
294,Bueno , Sweet Potato Taco,R-35882,BNO|Taco|Sweet Potato|1 pc,FT BUENO,230.0000048000002,271.7862546845949,2.5257299143855,52.87,1645.02,118.17,1.1,22.99,715.23,Green,Green,,,True,Feast
295,Bueno , Tajin Tots,R-67696,BNO|Tajin Tots|SIDE,FT BUENO,156.0,115.7718,0.7905,0.54,13.07,74.21,0.51,0.35,8.38,Green,Green,,,True,Feast
296,Bueno , Tofu Breakfast Scramble,R-67821,BNO|Tofu Breakfast Scramble,FT GRILL BREAKFAST,260.0,320.37561829423186,1.81922975955106,12.02,549.13,123.22,0.7,4.62,211.2,Green,Green,,,True,Feast
